3.989790690176683863e-01,1.002377104648066952e+00
4.234753700335329163e-01,1.047456622085255251e+00
4.586870887448288303e-01,1.119551183429173369e+00
5.537139186679708169e-01,1.369184339948707141e+00
5.334645356456759746e-01,1.308009674144005041e+00
6.109251687814654108e-01,1.484316219846890661e+00
6.612123676316533638e-01,1.607259421235168517e+00
7.483113933941725193e-01,1.828132867856110622e+00
7.502033402860944777e-01,1.829464831380807954e+00
6.699120889258731726e-01,1.603648785800305232e+00
5.815144284946824893e-01,1.400872936061758889e+00
6.567790744720904961e-01,1.575309414454844736e+00
7.770481152812440673e-01,1.855845655226312729e+00
7.860940015800522707e-01,1.882782744889890392e+00
8.089578205727975257e-01,1.938800195385931513e+00
8.233035848726640848e-01,1.972645811371427582e+00
7.908321206057259412e-01,1.892215326481797799e+00
7.864391658303847565e-01,1.883797904358293307e+00
7.449003816226673624e-01,1.786444904182439286e+00
7.243330576896993556e-01,1.737909733459959138e+00
7.495207305325073399e-01,1.793688952161906380e+00
7.466322830672159627e-01,1.791525207021600119e+00
7.088705029821369408e-01,1.705745951394551430e+00
7.278947705184454220e-01,1.746105141712203768e+00
7.414174984582384553e-01,1.777486043641053115e+00
7.181182553681302316e-01,1.723586908385257521e+00
6.940874412834618923e-01,1.662604048615038632e+00
6.976128881362732015e-01,1.673164250336889092e+00
6.833568636530703566e-01,1.640083027717068598e+00
6.674445306402065903e-01,1.602837796760630207e+00
6.465137184707365758e-01,1.549772560601613947e+00
6.161177243583413343e-01,1.477838871979769930e+00
5.907780126951778232e-01,1.422114595384844415e+00
5.565330946426885195e-01,1.344080902617330153e+00
5.196443221166330284e-01,1.254138405712393434e+00
5.417987386670892747e-01,1.304585777523984635e+00
5.410708304084022036e-01,1.305085434697170532e+00
5.031141732899808705e-01,1.216076977799658954e+00
4.683470992093258234e-01,1.140119631835559755e+00
4.351517229902688300e-01,1.065492782133171223e+00
4.239945100590825078e-01,1.034916805827827524e+00
4.136643964526002248e-01,1.011497319777554527e+00
4.055066055441806649e-01,9.914553412051042569e-01
3.809384300636431409e-01,9.282085820245966623e-01
3.817557728460608812e-01,9.227834873471183474e-01
3.661290948242699184e-01,8.816957667496262419e-01
3.505467760935760402e-01,8.493496095375220323e-01
3.369879515840188411e-01,8.150197134141483613e-01
3.190114843187306648e-01,7.788072479237441170e-01
3.032341058147462465e-01,7.410664213778724863e-01
3.167193476378402095e-01,7.746524981974277635e-01
3.163935858653461608e-01,7.725577347838141762e-01
3.205014443172488625e-01,7.818841657904027631e-01
3.248890390335456013e-01,7.959156324637659541e-01
3.339906983397257778e-01,8.166699325174893165e-01
3.371660666582689259e-01,8.206811160679726713e-01
3.470678038656997977e-01,8.454567266133528047e-01
3.663030891454841509e-01,8.930285584840097490e-01
3.748662063200257633e-01,9.118540561130875632e-01
3.954667876810818439e-01,9.558237336204978840e-01
4.002494976459783915e-01,9.661483524274233625e-01
