9.968691335670888387e-01,8.225535608484196848e-02,3.076971704164062626e-01,9.658371149426115965e-01,1.003600316250127245e+00,1.011034964605654674e+00
5.694252763279227247e-01,8.997630765225739236e-02,1.364214309409464976e-01,5.933848871449850515e-01,1.059660631049522461e+00,4.314403537265548705e-01
3.377692827511609708e-01,8.375984455981073940e-02,1.510348969174657718e-01,3.934604087466925804e-01,1.035923293800605105e+00,4.744034881877309817e-01
1.392738851656264709e-01,4.343322060970859072e-02,9.469487428679902730e-02,1.527966519267798806e-01,5.641165350172707704e-01,3.043420197568506014e-01
9.936105124606425809e-02,3.257505813581593884e-02,6.244386634200336378e-02,1.034058829392165424e-01,4.324025766006682758e-01,2.130788665617347477e-01
5.571854798090240812e-02,1.990872548626592201e-02,4.169883845938868183e-02,5.831465954444881028e-02,2.528666714574721586e-01,1.410664076447973592e-01
4.194264448765685355e-02,1.686974381050690766e-02,2.399573724696823715e-02,4.643060767463411120e-02,2.167233469148940883e-01,8.915808287011087185e-02
3.212600238256514001e-02,1.400919733622913235e-02,1.657746119335252316e-02,3.391707631362119585e-02,1.767060894521171044e-01,6.353482350709968585e-02
2.268053466131074794e-02,1.300304776756532575e-02,1.531766440928802181e-02,2.469374937040430540e-02,1.646426239164124061e-01,5.984342947438206495e-02
1.384518221034834393e-02,1.149471814316098406e-02,1.059498914873778334e-02,1.456871556061520474e-02,1.383491408899006903e-01,4.066780810561943654e-02
1.426267632558269639e-02,8.948435793764282845e-03,1.047027409759894966e-02,1.593090942090385348e-02,1.112881347908240420e-01,3.669153372004561875e-02
1.478132499896528916e-02,8.442349481580605289e-03,9.193177327423879969e-03,1.626080786448683146e-02,1.123643085341857750e-01,3.402601330655254108e-02
1.257119840230743434e-02,6.708184006639422367e-03,7.427610329829524224e-03,1.415291561808204590e-02,8.573455451749205369e-02,2.705620142852780199e-02
1.193584781973409253e-02,5.287117319675909907e-03,7.326105340868215889e-03,1.249874622615045235e-02,7.018448255127929247e-02,2.528841336614617505e-02
1.217787800819193633e-02,5.158509128142814426e-03,5.598565921392856769e-03,1.301873063615242160e-02,6.739974315209411315e-02,1.977854787564899477e-02
1.138295069196827367e-02,5.028891306123621854e-03,5.159728998264156812e-03,1.206021860734428353e-02,6.558426379180987142e-02,1.812996519281399876e-02
1.067313805813948670e-02,5.271475263768103138e-03,6.247205765786795553e-03,1.153260147089289582e-02,6.631786353749272167e-02,2.231961697176153281e-02
1.014738995249784420e-02,4.821591402131529536e-03,5.081482555000652220e-03,1.037204389953663708e-02,6.121918636224767812e-02,1.855795062891760563e-02
9.195794093634992311e-03,4.585427047131176125e-03,3.863276381475445539e-03,9.531721264302949262e-03,5.714105846881571693e-02,1.401962400065176646e-02
8.387957401492300916e-03,4.503725124519917036e-03,4.082199225930891080e-03,9.052209991326417085e-03,5.599966170721880354e-02,1.570169579237932003e-02
8.467947815428209304e-03,4.297670015952630672e-03,4.490620092685496285e-03,8.900854256794833372e-03,5.209449760807841751e-02,1.616580514548918851e-02
8.399535657199780347e-03,4.681908896990556734e-03,4.891793594326594198e-03,8.771825896931666547e-03,5.622465712312998964e-02,1.662223058142795612e-02
8.043991219458035413e-03,4.334731103852808819e-03,5.084869235044941517e-03,8.392115333712962116e-03,5.303150688254098383e-02,1.762786233899196059e-02
8.210114834802550998e-03,4.208081964663510331e-03,4.696901250950567472e-03,8.604428036155336440e-03,5.183452825035896744e-02,1.606751538418354011e-02
6.997136076989566786e-03,4.079031180887197038e-03,5.282139875778033358e-03,7.507661738890391255e-03,4.962091086237463422e-02,1.775153249163825830e-02
6.869638090970979841e-03,3.759319674021568275e-03,4.498703623897633806e-03,7.251076883222680285e-03,4.617552700988529490e-02,1.549006048649668316e-02
6.632381538686488338e-03,3.559225226936934151e-03,4.100570521106425802e-03,6.850443955294555597e-03,4.438881777735381035e-02,1.386441973787056262e-02
7.039938319169283809e-03,3.695849827332321324e-03,4.610270041336630813e-03,7.285512425338236051e-03,4.516306775833962839e-02,1.532665669551914849e-02
6.902002622545026778e-03,3.778126965381348353e-03,4.606615402428642161e-03,7.163927977793044938e-03,4.631408272070815235e-02,1.541342360935975438e-02
6.526214261354381513e-03,3.726363938029058406e-03,4.765197488791444481e-03,6.754406301569506471e-03,4.638332154820220404e-02,1.609501255462191319e-02
6.255380192316967528e-03,3.720543186401031530e-03,4.546973911159103189e-03,6.535759717829035288e-03,4.696043359633243069e-02,1.513677635985397410e-02
5.523829074732141547e-03,3.905883890267843137e-03,4.150799623228630317e-03,6.112486197560399771e-03,4.988659659911689331e-02,1.409658889387091149e-02
5.548635900248605375e-03,3.669653746917109910e-03,4.346109929940854266e-03,6.242996767069965494e-03,4.745387893748771735e-02,1.457781340314030782e-02
5.309264201514543938e-03,3.409119688271907301e-03,3.959585084592647831e-03,5.940146403122638884e-03,4.357166958340850937e-02,1.331563753676625640e-02
5.505904398231068614e-03,3.410856333124086780e-03,3.979380520201566095e-03,6.066854207696661082e-03,4.302184386740676159e-02,1.331494272268113864e-02
5.805650921111622613e-03,3.246214961724601302e-03,3.957099679757993330e-03,6.239629200427183539e-03,4.065852017719138317e-02,1.316122761594145686e-02
5.897952619940951581e-03,3.165050756077909897e-03,3.395914195234781344e-03,6.324378633189012798e-03,3.968522428397634749e-02,1.164757158043196010e-02
5.537526863016404947e-03,3.054061420901892608e-03,3.301305055474725979e-03,6.113539625552845934e-03,3.807891832976599555e-02,1.127737206746026039e-02
6.614992892821325646e-03,2.970132038263397986e-03,3.813108821482036424e-03,7.073884133225290943e-03,3.800603097989641022e-02,1.279609157973513912e-02
6.666675746494762217e-03,2.873940837709247197e-03,3.951649631928586502e-03,6.986310446317030992e-03,3.688231267392216156e-02,1.381333930929715993e-02
6.556148482143724608e-03,2.695354879531463785e-03,3.583011367205125343e-03,6.899053523089410805e-03,3.361072096146600074e-02,1.251995717948194489e-02
6.409577824629256876e-03,2.731996205259833860e-03,3.622539817829333042e-03,6.823323552388903777e-03,3.409971270297545987e-02,1.254933307303518486e-02
6.235894119074581431e-03,2.632477837866148244e-03,3.609719860703456372e-03,6.686688890775453059e-03,3.349140194061306364e-02,1.244841188853484590e-02
5.827033400003284527e-03,2.568831475204451896e-03,3.184409360077325619e-03,6.356263774988340880e-03,3.271125901475037401e-02,1.126857390391246272e-02
5.864260108620557473e-03,2.497903605610104268e-03,3.387614167093338027e-03,6.259636163377139788e-03,3.230292318189220691e-02,1.174534504779911614e-02
5.589628621814504532e-03,2.465650394338445798e-03,3.219962621417702276e-03,6.022830708239769633e-03,3.196006186857908854e-02,1.142237645033812761e-02
5.713004827389503090e-03,2.458060313641065569e-03,3.358918163884083621e-03,6.202604042688810403e-03,3.159434311844622895e-02,1.185596335314719266e-02
5.967941054381891396e-03,2.449006440851588407e-03,3.356127971698956089e-03,6.289182385227552047e-03,3.140506015586474325e-02,1.207357982440166420e-02
5.804671045801485831e-03,2.476560525378183712e-03,3.350059901518916659e-03,6.210789956029122601e-03,3.152010210697853837e-02,1.193501141350762629e-02
5.466644199939228038e-03,2.354950993273792828e-03,3.302631606278982630e-03,5.931638060817141615e-03,3.020012078247907850e-02,1.185598790785938501e-02
5.575802728592868691e-03,2.404310609939993692e-03,3.472169604349157734e-03,5.990632280791035463e-03,3.102101432563756506e-02,1.236625837916063494e-02
5.748922376322431610e-03,2.262224165467345734e-03,3.245607472150449993e-03,6.086091363899487003e-03,2.935223310467459726e-02,1.163104375127474964e-02
5.757485337546912850e-03,2.304661011147468314e-03,3.057805217757371841e-03,6.246008350109317347e-03,2.985478868266514332e-02,1.103710917737569554e-02
5.732763033632974105e-03,2.260080656113867478e-03,3.024502909673094757e-03,6.223905531089652353e-03,2.955244928708363611e-02,1.096241900228452429e-02
5.699314398522470695e-03,2.324057266556371626e-03,3.229409210515074048e-03,6.245585973158955875e-03,3.023848547686260740e-02,1.179913069632831067e-02
5.503296802828085664e-03,2.335406859941700254e-03,3.023438234859651946e-03,5.972262371608285693e-03,3.000464207626299049e-02,1.133971782325213402e-02
5.682068535069486302e-03,2.219128880476595178e-03,3.027752945447057323e-03,6.013651580036524953e-03,2.857693176800110008e-02,1.130726878519042362e-02
5.147994493640319948e-03,2.221967174734816499e-03,3.136578888266107045e-03,5.527982029300564440e-03,2.855007736674491578e-02,1.146931544616161883e-02
5.175920897011761397e-03,2.264909147952676866e-03,3.073189379837394652e-03,5.471229455119293143e-03,2.920164109102226652e-02,1.141078667720961393e-02
5.155857952246135911e-03,2.283689060077045106e-03,2.895680865402941451e-03,5.491428410332920874e-03,2.944279029342715057e-02,1.073322084867384639e-02
4.880917249332626835e-03,2.303467203187232245e-03,2.997438919937239071e-03,5.256775867766779430e-03,2.957534312735558141e-02,1.116377617373203769e-02
5.183095388146712230e-03,2.300572316248892819e-03,2.971523211916339731e-03,5.490668026340093065e-03,2.948864550622513903e-02,1.109687985343951570e-02
5.168738638891759787e-03,2.273857646868897211e-03,2.864142181136464411e-03,5.488441451474410961e-03,2.914103413790574554e-02,1.060533046204338407e-02
5.304793915736459239e-03,2.257736020285294482e-03,2.727887606444108926e-03,5.581959387619741912e-03,2.888753879472076569e-02,1.019041761048640644e-02
5.380888841815996589e-03,2.222272393480909710e-03,2.580641871890284201e-03,5.690234692770730282e-03,2.829537445849496929e-02,9.622594493996806941e-03
5.274575668130235262e-03,2.166816832108008593e-03,2.579916209978937256e-03,5.659182929888683863e-03,2.790770851747626305e-02,9.619945267743479703e-03
5.010782056679676660e-03,2.074439233261473909e-03,2.538786590022447040e-03,5.438882520044326097e-03,2.688181180631294895e-02,9.397491595723644897e-03
4.997690557842108389e-03,2.108515801430365690e-03,2.473804703267283404e-03,5.451310348459083646e-03,2.733397144368435866e-02,9.184568971940559878e-03
5.019234160605425682e-03,2.160467567859104474e-03,2.634979997261343784e-03,5.426473409781838037e-03,2.801396647282149155e-02,9.734913967836602081e-03
5.167982304612294374e-03,2.199667235568662001e-03,2.617970145982492433e-03,5.525635526903638871e-03,2.867998021939879849e-02,9.803724707118169346e-03
5.035723805850963845e-03,2.184051502312742837e-03,2.576173224598066885e-03,5.470125123038097233e-03,2.857583384369647220e-02,9.480572744689025333e-03
5.016784494782426662e-03,2.146622686238093200e-03,2.500437306327543945e-03,5.498211017218821231e-03,2.803849885684950652e-02,9.185515832823721444e-03
5.138693681773146352e-03,2.131442450490234845e-03,2.602226408932894943e-03,5.615546529103791068e-03,2.779654467320367625e-02,9.714565642058657635e-03
5.232227198281720788e-03,2.172102659786737371e-03,2.442963110045284335e-03,5.653180353463079823e-03,2.816649172607270726e-02,9.193361641399071596e-03
4.967383715025986031e-03,2.089217633324860855e-03,2.356578632753259309e-03,5.493304165335655825e-03,2.683040797288232041e-02,8.815104909869539776e-03
4.967870791705243129e-03,2.083601536628862903e-03,2.260628753579780378e-03,5.531818750762448715e-03,2.688230599803719326e-02,8.591198132457554884e-03
4.833133100912658311e-03,2.005161065418936857e-03,2.106026603602656130e-03,5.485986143714985212e-03,2.613745528737148813e-02,7.776310588784579071e-03
4.919085306982561023e-03,1.984550172368946663e-03,2.241293542985924557e-03,5.595164437856113906e-03,2.597508290407131090e-02,8.203608804921682512e-03
5.247451376717753545e-03,2.025486310922732826e-03,2.448860615740911136e-03,5.827642132307087226e-03,2.646870895918651545e-02,9.071962314765558491e-03
5.312770732634555099e-03,2.023306132357594392e-03,2.335408226735930567e-03,5.918851947474709947e-03,2.626586964307016728e-02,8.535665161834505438e-03
4.999756272009672764e-03,2.023211150328151423e-03,2.524867012818136826e-03,5.453031935243624409e-03,2.664555032952855076e-02,9.123028087147721371e-03
4.876943781828802990e-03,1.971649038876811290e-03,2.518527271167679896e-03,5.277696787148108970e-03,2.594670665061953388e-02,9.008882529191953453e-03
5.141720646722898122e-03,1.951542790938412975e-03,2.347327038669706073e-03,5.535642144274164136e-03,2.574497962066304990e-02,8.522579088082599119e-03
5.143656449160121345e-03,1.974766751143239817e-03,2.062277040950911012e-03,5.642911775021140601e-03,2.580620019607723220e-02,7.589259631991867802e-03
5.007150715266692372e-03,2.012965443053230628e-03,2.337707073290538635e-03,5.561381169101566740e-03,2.626002268254767555e-02,8.477743123490090807e-03
4.846798842831727405e-03,2.011005524622041726e-03,2.303509114681838270e-03,5.566724718101369491e-03,2.637103139900057180e-02,8.284810161466166917e-03
4.927338406662543774e-03,2.048683744643931513e-03,2.381666823403342202e-03,5.475314522529333393e-03,2.701328348931498341e-02,8.807804683246945807e-03
5.183612274193416004e-03,2.125689677979519798e-03,2.431454721717378996e-03,5.685555817883858852e-03,2.774595333075161041e-02,9.196184036128939726e-03
4.972008099702432925e-03,2.073923262409287961e-03,2.567529473388516573e-03,5.446086023385446513e-03,2.693767062251044633e-02,9.502948162703177964e-03
