# Title: SciPy L-BFGS-B termination status for the paired comparison campaign
# Description: Development and held-out confirmation runs of the same-protocol comparison, with the optimizer success flag, status code, termination message, iteration and function-evaluation counts, the three independent seed streams and the SHA-256 checksum of the collocation point set used by every model within a trial.
# Note: ftol = gtol = machine epsilon; the legacy 'factr' option is not a valid scipy.optimize.minimize argument and was never applied
# Rows: 178
experiment,model,key_id,nh,nn,trial,init_seed,data_seed,feature_seed,collocation_sha256,n_params,l2_relative,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_nit,lbfgs_nfev,time_lbfgs,scipy,tensorflow
major1_dev,FF,FF_m3_s2_lr0.003,3,10,2,1236,101236,201236,7b0a65d90daf8e9405bb75d2b6ad038ab16e09d7961d840747a440941bf50fc3,301,0.9999933712791792,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8464,9123,102.4376540184021,1.15.3,2.10.0
major1_dev,LPA,LPA_P6_N30_lr0.0001,3,10,0,1234,101234,201234,ae1801d2a9f18a1b9981ce1c55acdeb6b170567b1f7de9ba4ea01fb4f9925a6d,291,0.1324316213995877,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9119,9674,332.6845672130585,1.15.3,2.10.0
major1_dev,LPA,LPA_P6_N30_lr0.0001,3,10,1,1235,101235,201235,be5301dba3d39d76d823a45f67800d51fdae62a838a4820c5d8ac789073c0834,291,0.0253277784805438,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9219,9826,334.63319993019104,1.15.3,2.10.0
major1_dev,LPA,LPA_P6_N30_lr0.0001,3,10,2,1236,101236,201236,7b0a65d90daf8e9405bb75d2b6ad038ab16e09d7961d840747a440941bf50fc3,291,0.022971071654367,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6049,6474,224.56304597854617,1.15.3,2.10.0
major1_dev,LPA,LPA_P6_N30_lr0.0003,3,10,0,1234,101234,201234,ae1801d2a9f18a1b9981ce1c55acdeb6b170567b1f7de9ba4ea01fb4f9925a6d,291,0.0132293721475119,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4408,4658,159.6391959190369,1.15.3,2.10.0
major1_dev,LPA,LPA_P6_N30_lr0.0003,3,10,1,1235,101235,201235,be5301dba3d39d76d823a45f67800d51fdae62a838a4820c5d8ac789073c0834,291,0.0404546102306622,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12949,13685,477.7222158908844,1.15.3,2.10.0
major1_dev,LPA,LPA_P6_N30_lr0.0003,3,10,2,1236,101236,201236,7b0a65d90daf8e9405bb75d2b6ad038ab16e09d7961d840747a440941bf50fc3,291,0.0080274952997225,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4340,4618,157.71993803977966,1.15.3,2.10.0
major1_dev,LPA,LPA_P6_N30_lr0.001,3,10,0,1234,101234,201234,ae1801d2a9f18a1b9981ce1c55acdeb6b170567b1f7de9ba4ea01fb4f9925a6d,291,0.0046195573667534,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7607,7999,268.16031408309937,1.15.3,2.10.0
major1_dev,LPA,LPA_P6_N30_lr0.001,3,10,1,1235,101235,201235,be5301dba3d39d76d823a45f67800d51fdae62a838a4820c5d8ac789073c0834,291,0.0110185735589012,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6089,6500,222.7061877250671,1.15.3,2.10.0
major1_dev,LPA,LPA_P6_N30_lr0.001,3,10,2,1236,101236,201236,7b0a65d90daf8e9405bb75d2b6ad038ab16e09d7961d840747a440941bf50fc3,291,0.0129300264343706,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3629,3824,130.41198801994324,1.15.3,2.10.0
major1_dev,LPA,LPA_P6_N30_lr0.003,3,10,0,1234,101234,201234,ae1801d2a9f18a1b9981ce1c55acdeb6b170567b1f7de9ba4ea01fb4f9925a6d,291,0.0057881704025138,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5274,5605,201.3144729137421,1.15.3,2.10.0
major1_dev,LPA,LPA_P6_N30_lr0.003,3,10,1,1235,101235,201235,be5301dba3d39d76d823a45f67800d51fdae62a838a4820c5d8ac789073c0834,291,0.0419151751529672,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6638,7056,249.24946117401123,1.15.3,2.10.0
major1_dev,LPA,LPA_P6_N30_lr0.003,3,10,2,1236,101236,201236,7b0a65d90daf8e9405bb75d2b6ad038ab16e09d7961d840747a440941bf50fc3,291,0.0129973428771036,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3402,3586,129.98624992370603,1.15.3,2.10.0
major1_dev,LPA,LPA_P6_N30_lr0.01,3,10,0,1234,101234,201234,ae1801d2a9f18a1b9981ce1c55acdeb6b170567b1f7de9ba4ea01fb4f9925a6d,291,0.0176644132357567,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7675,8146,297.98473596572876,1.15.3,2.10.0
major1_dev,LPA,LPA_P6_N30_lr0.01,3,10,1,1235,101235,201235,be5301dba3d39d76d823a45f67800d51fdae62a838a4820c5d8ac789073c0834,291,0.0518088114853423,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8531,8999,328.0399098396301,1.15.3,2.10.0
major1_dev,LPA,LPA_P6_N30_lr0.01,3,10,2,1236,101236,201236,7b0a65d90daf8e9405bb75d2b6ad038ab16e09d7961d840747a440941bf50fc3,291,0.0064794493482342,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7182,7592,281.6541979312897,1.15.3,2.10.0
major1_dev,LPA,LPA_P6_N30_lr0.03,3,10,0,1234,101234,201234,ae1801d2a9f18a1b9981ce1c55acdeb6b170567b1f7de9ba4ea01fb4f9925a6d,291,0.0144382217612669,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3619,3857,139.85638403892517,1.15.3,2.10.0
major1_dev,LPA,LPA_P6_N30_lr0.03,3,10,1,1235,101235,201235,be5301dba3d39d76d823a45f67800d51fdae62a838a4820c5d8ac789073c0834,291,0.0267565575259113,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11520,12181,377.7216801643371,1.15.3,2.10.0
major1_dev,LPA,LPA_P6_N30_lr0.03,3,10,2,1236,101236,201236,7b0a65d90daf8e9405bb75d2b6ad038ab16e09d7961d840747a440941bf50fc3,291,0.0186906911946265,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5817,6265,197.1537079811096,1.15.3,2.10.0
major1_dev,NLAAF,NLAAF_n10_a0.1_sr0.1_lr0.001,3,10,0,1234,101234,201234,ae1801d2a9f18a1b9981ce1c55acdeb6b170567b1f7de9ba4ea01fb4f9925a6d,291,1.9485525510450976,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5518,5971,73.79980492591858,1.15.3,2.10.0
major1_dev,NLAAF,NLAAF_n10_a0.1_sr0.1_lr0.001,3,10,1,1235,101235,201235,be5301dba3d39d76d823a45f67800d51fdae62a838a4820c5d8ac789073c0834,291,1.541701509663593,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10030,11347,142.03010296821594,1.15.3,2.10.0
major1_dev,NLAAF,NLAAF_n10_a0.1_sr0.1_lr0.001,3,10,2,1236,101236,201236,7b0a65d90daf8e9405bb75d2b6ad038ab16e09d7961d840747a440941bf50fc3,291,1.239171541590638,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8585,9421,117.49264407157898,1.15.3,2.10.0
major1_dev,NLAAF,NLAAF_n10_a0.1_sr0.1_lr0.01,3,10,0,1234,101234,201234,ae1801d2a9f18a1b9981ce1c55acdeb6b170567b1f7de9ba4ea01fb4f9925a6d,291,1.638396541352333,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6390,6965,87.74642896652222,1.15.3,2.10.0
