# Title: Per-seed results for every reported PINN configuration
# Description: One row per training run behind Tables 1-3 and the order, panel-count and sensitivity studies: benchmark, architecture, model key, seed, hyperparameters, relative L2 and absolute L1 errors (component-wise for Kovasznay), L-BFGS iteration count and final loss. No run is excluded; table statistics are computed over exactly these rows.
# Note: seed = 1234 + trial; key_id encodes the model and its hyperparameters
# Rows: 455
experiment,benchmark,key_id,nh,nn,trial,seed,lpa_order,lpa_panels,ff_sigma,ff_features,lr,N_r,N_b,n_params,l2_relative,l1_absolute,lbfgs_steps,final_loss,l2_relative_u,l2_relative_v,l2_relative_p,l1_absolute_u,l1_absolute_v,l1_absolute_p,P,rms_r,rms_r_xx,N_panel,dof
ff_baseline,helmholtz2d,LPA_P6_N30,2,10,1,1235,6.0,30.0,,,0.01,10000,200,181,1.060251940554512,0.437566023795894,3074,50.18148040771485,,,,,,,,,,,
ff_baseline,helmholtz2d,LPA_P6_N30,2,10,2,1236,6.0,30.0,,,0.01,10000,200,181,0.0442689577688636,0.0170523483090329,4584,1.489635944366455,,,,,,,,,,,
ff_baseline,helmholtz2d,LPA_P6_N30,2,10,3,1237,6.0,30.0,,,0.01,10000,200,181,0.5172125459358811,0.2156318608359525,5669,41.46511459350586,,,,,,,,,,,
ff_baseline,helmholtz2d,LPA_P6_N30,2,10,4,1238,6.0,30.0,,,0.01,10000,200,181,2.3275051333571257,0.9737017679510208,1613,272.78131103515625,,,,,,,,,,,
ff_baseline,helmholtz2d,LPA_P6_N30,2,10,5,1239,6.0,30.0,,,0.01,10000,200,181,0.0215480169247983,0.0081959305214874,4016,0.3516693413257599,,,,,,,,,,,
ff_baseline,helmholtz2d,LPA_P6_N30,2,10,6,1240,6.0,30.0,,,0.01,10000,200,181,0.1735793099858431,0.0705949815264637,3519,28.06584930419922,,,,,,,,,,,
ff_baseline,helmholtz2d,LPA_P6_N30,2,10,7,1241,6.0,30.0,,,0.01,10000,200,181,2.392203997829029,1.000841936743594,3739,268.2672119140625,,,,,,,,,,,
ff_baseline,helmholtz2d,LPA_P6_N30,2,10,8,1242,6.0,30.0,,,0.01,10000,200,181,0.0784692323260475,0.0312900654811767,3651,3.5070714950561523,,,,,,,,,,,
ff_baseline,helmholtz2d,LPA_P6_N30,2,10,9,1243,6.0,30.0,,,0.01,10000,200,181,0.0050954315184662,0.0019899308598374,8118,0.1427272856235504,,,,,,,,,,,
ff_baseline,helmholtz2d,R1,2,10,0,1234,,,,,0.01,10000,200,151,1.7578376163402394,0.7341500516886784,5130,250.7254943847656,,,,,,,,,,,
ff_baseline,helmholtz2d,R1,2,10,1,1235,,,,,0.01,10000,200,151,2.503690121642097,1.0320858888217757,4324,175.2793731689453,,,,,,,,,,,
ff_baseline,helmholtz2d,R1,2,10,2,1236,,,,,0.01,10000,200,151,1.4364167082935813,0.6037226702303564,6300,168.0087890625,,,,,,,,,,,
ff_baseline,helmholtz2d,R1,2,10,3,1237,,,,,0.01,10000,200,151,1.5013557705254574,0.6131378668395444,1144,2866.639404296875,,,,,,,,,,,
ff_baseline,helmholtz2d,R1,2,10,4,1238,,,,,0.01,10000,200,151,0.6192422303527554,0.2378274643595481,9997,61.473487854003906,,,,,,,,,,,
ff_baseline,helmholtz2d,R1,2,10,5,1239,,,,,0.01,10000,200,151,0.4130188129408291,0.1649680727073154,13613,13.546531677246094,,,,,,,,,,,
ff_baseline,helmholtz2d,R1,2,10,6,1240,,,,,0.01,10000,200,151,1.6534846469530795,0.676975921847049,8946,245.2831115722656,,,,,,,,,,,
ff_baseline,helmholtz2d,R1,2,10,7,1241,,,,,0.01,10000,200,151,2.2483224266824644,0.9047671765916884,3249,768.715576171875,,,,,,,,,,,
ff_baseline,helmholtz2d,R1,2,10,8,1242,,,,,0.01,10000,200,151,1.6870492092709906,0.6807711723724695,2116,1253.7568359375,,,,,,,,,,,
ff_baseline,helmholtz2d,R1,2,10,9,1243,,,,,0.01,10000,200,151,2.3136391798343654,0.949659513060455,6422,341.3895263671875,,,,,,,,,,,
ff_baseline,helmholtz2d,R,2,10,0,1234,,,,,0.01,10000,200,173,1.5190355777202686,0.3497804557666251,14574,3.380321502685547,,,,,,,,,,,
ff_baseline,helmholtz2d,R,2,10,1,1235,,,,,0.01,10000,200,173,1.757168670657633,0.4031887411840494,7822,11.901545524597168,,,,,,,,,,,
ff_baseline,helmholtz2d,R,2,10,2,1236,,,,,0.01,10000,200,173,1.4749171487550916,0.3403790307117382,11436,1.3871512413024902,,,,,,,,,,,
ff_baseline,helmholtz2d,R,2,10,3,1237,,,,,0.01,10000,200,173,1.402996188410487,0.3228831807023797,11558,2.046076774597168,,,,,,,,,,,
ff_baseline,helmholtz2d,R,2,10,4,1238,,,,,0.01,10000,200,173,1.8183831145047111,0.4127921702763532,15988,4.370963096618652,,,,,,,,,,,
ff_baseline,helmholtz2d,R,2,10,5,1239,,,,,0.01,10000,200,173,1.521867487840769,0.3501655386010555,12386,2.487031936645508,,,,,,,,,,,
ff_baseline,helmholtz2d,R,2,10,6,1240,,,,,0.01,10000,200,173,1.4291439170969986,0.3308156056493158,6978,16.421892166137695,,,,,,,,,,,
ff_baseline,helmholtz2d,R,2,10,7,1241,,,,,0.01,10000,200,173,2.7469525738962006,0.6092676753709315,14856,12.85002899169922,,,,,,,,,,,
ff_baseline,helmholtz2d,R,2,10,8,1242,,,,,0.01,10000,200,173,1.4448113307636683,0.3327872482397056,11997,3.5620594024658203,,,,,,,,,,,
ff_baseline,helmholtz2d,R,2,10,9,1243,,,,,0.01,10000,200,173,1.4419666543934055,0.3330315986358913,9457,3.003009796142578,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s10,3,10,0,1234,,,10.0,3.0,0.01,10000,200,301,1.0000870253736869,0.3974246169423293,8681,5982.482421875,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s10,3,10,1,1235,,,10.0,3.0,0.01,10000,200,301,1.0002400893563343,0.3976378388044851,5691,6089.6396484375,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s10,3,10,2,1236,,,10.0,3.0,0.01,10000,200,301,1.0001088872748496,0.3974601649411522,3322,6009.68994140625,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s10,3,10,3,1237,,,10.0,3.0,0.01,10000,200,301,1.0000241514768673,0.3972760411565585,5028,6020.033203125,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s10,3,10,4,1238,,,10.0,3.0,0.01,10000,200,301,1.000013564049145,0.3972562225333342,11876,6006.912109375,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s1,3,10,0,1234,,,1.0,3.0,0.01,10000,200,301,1.0113546865120582,0.4138348806415391,10962,5249.4443359375,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s1,3,10,1,1235,,,1.0,3.0,0.01,10000,200,301,0.9087525416538818,0.3616674422426307,11727,2217.9375,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s1,3,10,2,1236,,,1.0,3.0,0.01,10000,200,301,1.2569923349065952,0.5032474844034849,12658,3983.929443359375,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s1,3,10,3,1237,,,1.0,3.0,0.01,10000,200,301,1.999642492409318,0.8267157341364154,23169,238.6558380126953,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s1,3,10,4,1238,,,1.0,3.0,0.01,10000,200,301,1.2621669419464223,0.5017344914819254,25961,1431.7294921875,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s5,3,10,0,1234,,,5.0,3.0,0.01,10000,200,301,1.0000363099600955,0.3973255055642067,11927,5918.75537109375,,,,,,,,,,,
