model,key_id,n,n_params,l2_median,l2_q1,l2_q3,l2_iqr,l2_mean,l2_sd,l2_geomean,l2_median_ci95_lo,l2_median_ci95_hi,success_rate_0.1,common_loss_median,opt_success_rate,opt_status_counts,nit_median,nfev_median,raw_l2
FF_ORACLE,FF_ORACLE_m2_lr0.01,10,281,4.156120421167329e-06,3.0156351979800994e-06,4.620081142092792e-06,1.6044459441126927e-06,3.879993891579903e-06,1.458127472911534e-06,3.587972758531898e-06,2.6165656858243596e-06,5.040833253885796e-06,1.0,5.0717895646812394e-05,1.0,"{""0"": 10}",1834.5,1933.0,4.698661e-06;5.697324e-06;5.936175e-06;3.461047e-06;4.193899e-06;1.670900e-06;4.384343e-06;4.118341e-06;1.772084e-06;2.867164e-06
SIREN,SIREN_w30_hw30_lr0.001,10,261,0.0003912155972847211,0.0001253084402099104,0.0007872018632002609,0.0006618934229903505,0.06667796760674813,0.20963887844342546,0.0004464759286900414,0.00012139885198196723,0.0008432857437078275,0.9,0.020971328020095825,1.0,"{""0"": 10}",3425.0,3680.5,8.918320e-04;3.367686e-04;1.370372e-04;4.456626e-04;6.633200e-01;7.079342e-06;5.767136e-05;1.213989e-04;8.432857e-04;6.189502e-04
TFF,TFF_m3_s1_lr0.001,10,307,0.0016229776371104016,0.0007035418933106726,0.15522227066186445,0.15451872876855377,0.10097723312008333,0.17047625347698872,0.005198946182212087,0.0006064764908902032,0.2043599010295847,0.7,0.23405668884515762,1.0,"{""0"": 10}",5025.0,5357.0,6.064765e-04;4.635036e-04;9.947381e-04;7.809380e-03;2.043599e-01;8.427120e-05;4.589352e-01;1.267991e-03;3.332729e-01;1.977965e-03
LPA,LPA_P6_N30_lr0.001,10,291,0.025352102952831808,0.01250065285672897,0.03471096736205706,0.02221031450532809,0.02721061773176179,0.017580685156469586,0.02221137051560994,0.009918479277746233,0.03665223054344588,1.0,0.25912725925445557,1.0,"{""0"": 10}",6549.5,7091.5,3.030290e-02;2.040130e-02;9.918479e-03;6.518497e-02;3.359322e-02;3.971124e-02;3.508355e-02;2.024717e-02;9.747937e-03;7.915405e-03
FF,FF_m3_s0.5_lr0.003,10,301,0.67614898462406,0.276803465998273,1.1232888531092777,0.8464853871110047,0.7079265851187678,0.4738705703888199,0.4924355619881805,0.17745103334488707,1.1732558390108656,0.1,69.64914512634277,1.0,"{""0"": 10}",15204.5,16393.5,1.774510e-01;1.726299e-01;6.177951e-01;1.173256e+00;7.345029e-01;5.449690e-02;5.748608e-01;9.733879e-01;1.372465e+00;1.228421e+00
TANH,TANH_lr0.003,10,261,0.8256953883283304,0.4144888326195334,1.4662188521254604,1.0517300195059271,0.9851291568093318,0.7573472276780522,0.7110148101399199,0.3709838876277957,1.5666241145227953,0.0,74.09085464477539,1.0,"{""0"": 10}",9640.0,10518.0,5.450037e-01;1.628968e+00;1.566624e+00;7.911908e-01;8.602000e-01;3.709839e-01;2.319516e-01;1.165003e+00;2.555182e+00;1.361845e-01
NLAAF,NLAAF_n10_a0.1_sr0_lr0.001,10,291,1.3164832244169133,1.135174877621244,1.5906043023562475,0.4554294247350035,1.4075172844708805,0.3540640238709101,1.3716197789725246,1.1080033161837501,1.6285817989945794,0.0,939.3970642089844,1.0,"{""0"": 10}",6003.0,6595.5,1.305147e+00;1.628582e+00;1.042507e+00;1.108003e+00;2.183430e+00;1.476672e+00;1.706178e+00;1.080144e+00;1.327819e+00;1.216690e+00
