benchmark,key,key_id,nh,nn,trial,seed,lpa_order,lpa_panels,ff_sigma,ff_features,lr,adam_steps,lbfgs_maxiter,N_b,N_r,n_params,lpa_ref_params,l1_absolute,l2_relative,l1_absolute_c0,l2_relative_c0,l2_relative_sum,final_loss,time_adam,time_lbfgs,lbfgs_steps,machine,rms_r,mean_abs_r,max_abs_r,rms_r_x,mean_abs_r_x,max_abs_r_x,rms_r_y,mean_abs_r_y,max_abs_r_y,rms_r_xx,mean_abs_r_xx,max_abs_r_xx,rms_r_yy,mean_abs_r_yy,max_abs_r_yy,domain,P,N_panel
helmholtz2d,LPA,LPA_P2_N10,2,10,0,1234,2.0,10.0,,,0.01,200,40000,200,10000,161,,0.08481992594182113,0.21444710907366177,0.08481992594182113,0.21444710907366107,0.21444710907366107,7.3840250968933105,5.40536904335022,127.27948522567749,7147,arm64,2.3854531336721903,1.792526200413704,17.358989715576172,64.31114831510492,40.863630294799805,631.9569091796875,64.83251126249516,39.609774589538574,838.6862182617188,1630.6211191981415,994.1014099121094,15210.5302734375,1723.093266845994,985.9413681030273,16132.7666015625,,2,10
helmholtz2d,LPA,LPA_P2_N10,2,10,1,1235,2.0,10.0,,,0.01,200,40000,200,10000,161,,0.2223663242316401,0.5543970373472871,0.2223663242316401,0.5543970373472853,0.5543970373472853,49.59293746948242,4.941373825073242,120.2016978263855,6845,arm64,6.030722204645214,4.534628868103027,51.106224060058594,160.80320397975984,108.79998302459717,1663.967529296875,137.30475706790557,88.25227451324463,1470.3450927734375,3861.4403562660395,2712.255157470703,24251.671875,2697.1554228483014,1881.3536529541016,18920.171875,,2,10
helmholtz2d,LPA,LPA_P2_N10,2,10,2,1236,2.0,10.0,,,0.01,200,40000,200,10000,161,,0.08504745114993384,0.2174033660142412,0.08504745114993384,0.21740336601424087,0.21740336601424087,10.545661926269531,5.1755640506744385,79.91477608680725,4515,arm64,2.784931286130225,1.9710093140602112,28.896387100219727,62.59902287412258,41.04952573776245,489.52935791015625,68.10838431617766,44.11668109893799,624.8953247070312,1418.8727149571944,964.2191619873047,8486.74609375,1550.8012243675848,1047.1699752807617,12392.2041015625,,2,10
helmholtz2d,LPA,LPA_P2_N10,2,10,3,1237,2.0,10.0,,,0.01,200,40000,200,10000,161,,0.07222953812697146,0.17520004144500426,0.07222953812697146,0.17520004144500348,0.17520004144500348,7.952330112457275,4.978235244750977,144.74453806877136,8380,arm64,2.425521492679816,1.7188339680433273,23.80229377746582,62.20060222370992,39.24215316772461,766.000732421875,75.7399249033509,46.54329442977905,660.9630126953125,1640.200054490305,1009.12548828125,20974.115234375,2109.0640844934037,1342.5515441894531,13838.451171875,,2,10
helmholtz2d,LPA,LPA_P2_N10,2,10,4,1238,2.0,10.0,,,0.01,200,40000,200,10000,161,,0.029936881675508984,0.07745399960023121,0.029936881675508984,0.07745399960023121,0.07745399960023121,2.532404661178589,4.886796712875366,92.78911685943604,5475,arm64,1.460714970944777,1.1243619620800018,10.693105697631836,44.296885850693116,29.591792345046997,486.0233459472656,38.46115967079849,26.699899435043335,474.08233642578125,1228.7241223114324,796.4444885253906,11837.9345703125,1092.884621940944,693.2351455688477,11765.240234375,,2,10
helmholtz2d,LPA,LPA_P2_N20,2,10,0,1234,2.0,20.0,,,0.01,200,40000,200,10000,171,,0.1458368631238025,0.36164169896588805,0.1458368631238025,0.36164169896588727,0.36164169896588727,15.110414505004883,4.820488929748535,168.90754389762878,10109,arm64,3.829544178005733,2.846859574317932,32.442562103271484,108.45125205485469,71.85554790496826,901.9346923828125,105.57450109170168,66.18221759796143,1038.4273681640625,2921.8629224349315,1898.5504302978516,17387.775390625,2527.2253683634945,1722.7067260742188,13598.33203125,,2,20
helmholtz2d,LPA,LPA_P2_N20,2,10,1,1235,2.0,20.0,,,0.01,200,40000,200,10000,171,,0.1207769389894011,0.2922581735066203,0.1207769389894011,0.292258173506619,0.292258173506619,12.181941032409668,5.0330681800842285,107.20846700668335,6385,arm64,3.2771730980984524,2.403389632701874,31.461246490478516,86.5934155504864,59.40338134765625,833.4581909179688,101.77470829021615,56.984459400177,1197.86279296875,2581.3980587077226,1659.2180786132812,17672.47265625,2787.326496842449,1529.0552520751953,21698.275390625,,2,20
helmholtz2d,LPA,LPA_P2_N20,2,10,2,1236,2.0,20.0,,,0.01,200,40000,200,10000,171,,0.09082131129219877,0.22577477752660874,0.09082131129219877,0.22577477752660757,0.22577477752660757,6.708422660827637,4.626999855041504,105.28248500823975,6460,arm64,2.373178272769568,1.7612966746091843,19.805667877197266,67.60169138400693,42.40487623214722,745.8486938476562,76.86138567201267,48.50658416748047,878.2398681640625,1841.4749777691795,1153.927474975586,11128.2099609375,2463.6591307443487,1412.801773071289,28428.13671875,,2,20
helmholtz2d,LPA,LPA_P2_N20,2,10,3,1237,2.0,20.0,,,0.01,200,40000,200,10000,171,,0.07677261767052272,0.18952738390372642,0.07677261767052272,0.18952738390372595,0.18952738390372595,4.04902458190918,4.647237062454224,69.19073486328125,4049,arm64,1.68773823398664,1.1956604272127151,15.941179275512695,48.64709488446604,29.297139883041382,572.5062255859375,47.049924591360764,27.979082822799683,614.0119018554688,1300.8887647008871,751.1900177001953,11763.8056640625,1312.3892215154772,758.8056640625,12743.5869140625,,2,20
helmholtz2d,LPA,LPA_P2_N20,2,10,4,1238,2.0,20.0,,,0.01,200,40000,200,10000,171,,0.05035567082560169,0.12455729546992102,0.05035567082560169,0.12455729546992107,0.12455729546992107,17.969192504882812,4.886872053146362,86.15165209770203,5555,arm64,4.033689721705934,3.0386524498462677,39.36111831665039,105.49197082339074,67.17175960540771,1132.74609375,105.68760164099193,73.67468929290771,1303.503662109375,2965.8323241545536,1642.7296905517578,35736.5234375,2502.8404114126015,1753.0921478271484,17249.091796875,,2,20
