lr,l2_relative_mean,l1_absolute_mean,l2_relative_std,l1_absolute_std,l2_relative_median,l1_absolute_median,n_trials
0.001,0.1971339730416754,0.08110917420943926,0.2764391204357453,0.11439602243021153,0.11391945696258923,0.046071270084705934,5
0.003,0.02705220639976926,0.010858782429338899,0.016329169849269083,0.006602471329368776,0.03323822435378987,0.013332326727790207,5
0.01,0.6627286655591532,0.27597291141528085,0.9532551621421107,0.3989518490612778,0.12602427115594536,0.050942523503820246,10
0.03,0.44363021692621524,0.18497405915366785,0.9509496195300527,0.397225862592687,0.014376025994438124,0.005841252596006275,5
