Re,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
1.000000000000000000e+00,2.581496536731719971e-01,9.214420616626739502e-02,1.741995662450790405e-01,2.921387553215026855e-01,8.244201540946960449e-01,4.209280610084533691e-01
2.000000000000000000e+00,2.518050372600555420e-01,8.766526728868484497e-02,1.716139018535614014e-01,2.844682037830352783e-01,8.080185055732727051e-01,4.160505235195159912e-01
3.000000000000000000e+00,2.440179437398910522e-01,8.339209109544754028e-02,1.686585694551467896e-01,2.752760648727416992e-01,7.911368608474731445e-01,4.103433191776275635e-01
4.000000000000000000e+00,2.353947758674621582e-01,7.924356311559677124e-02,1.654267162084579468e-01,2.652116715908050537e-01,7.736170887947082520e-01,4.040575921535491943e-01
5.000000000000000000e+00,2.262458056211471558e-01,7.521414756774902344e-02,1.619639843702316284e-01,2.546100914478302002e-01,7.554911375045776367e-01,3.973127007484436035e-01
6.000000000000000000e+00,2.167710661888122559e-01,7.131389528512954712e-02,1.583032011985778809e-01,2.436904460191726685e-01,7.368539571762084961e-01,3.901896178722381592e-01
7.000000000000000000e+00,2.071228474378585815e-01,6.755705922842025757e-02,1.544728130102157593e-01,2.326157987117767334e-01,7.178246974945068359e-01,3.827537596225738525e-01
8.000000000000000000e+00,1.974255591630935669e-01,6.395660340785980225e-02,1.505016982555389404e-01,2.215156406164169312e-01,6.985296010971069336e-01,3.750597834587097168e-01
9.000000000000000000e+00,1.877802461385726929e-01,6.052274256944656372e-02,1.464129835367202759e-01,2.104957103729248047e-01,6.790894865989685059e-01,3.671567142009735107e-01
1.000000000000000000e+01,1.782613694667816162e-01,5.725790932774543762e-02,1.422297060489654541e-01,1.996422857046127319e-01,6.596153378486633301e-01,3.590876162052154541e-01
1.100000000000000000e+01,1.689355522394180298e-01,5.416126176714897156e-02,1.379745751619338989e-01,1.890247613191604614e-01,6.402029395103454590e-01,3.508894741535186768e-01
1.200000000000000000e+01,1.598633974790573120e-01,5.123109742999076843e-02,1.336683332920074463e-01,1.786975115537643433e-01,6.209322810173034668e-01,3.425939083099365234e-01
1.300000000000000000e+01,1.510769724845886230e-01,4.846142604947090149e-02,1.293322741985321045e-01,1.687025725841522217e-01,6.018686294555664062e-01,3.342293500900268555e-01
1.400000000000000000e+01,1.426022946834564209e-01,4.584689810872077942e-02,1.249838396906852722e-01,1.590701788663864136e-01,5.830630064010620117e-01,3.258200883865356445e-01
1.500000000000000000e+01,1.344664841890335083e-01,4.337846115231513977e-02,1.206392347812652588e-01,1.498214751482009888e-01,5.645542144775390625e-01,3.173862695693969727e-01
1.600000000000000000e+01,1.266777664422988892e-01,4.104743897914886475e-02,1.163140609860420227e-01,1.409693807363510132e-01,5.463715195655822754e-01,3.089469075202941895e-01
1.700000000000000000e+01,1.192414090037345886e-01,3.884589672088623047e-02,1.120218038558959961e-01,1.325200498104095459e-01,5.285363197326660156e-01,3.005170822143554688e-01
1.800000000000000000e+01,1.121597811579704285e-01,3.676606342196464539e-02,1.077750399708747864e-01,1.244746446609497070e-01,5.110633373260498047e-01,2.921113967895507812e-01
1.900000000000000000e+01,1.054323390126228333e-01,3.480267152190208435e-02,1.035847663879394531e-01,1.168299838900566101e-01,4.939633011817932129e-01,2.837424278259277344e-01
2.000000000000000000e+01,9.905477613210678101e-02,3.294935449957847595e-02,9.946107119321823120e-02,1.095794066786766052e-01,4.772441387176513672e-01,2.754211723804473877e-01
2.100000000000000000e+01,9.301447868347167969e-02,3.119918890297412872e-02,9.541257470846176147e-02,1.027139499783515930e-01,4.609113037586212158e-01,2.671578526496887207e-01
2.200000000000000000e+01,8.729910105466842651e-02,2.954673394560813904e-02,9.144584834575653076e-02,9.622284024953842163e-02,4.449691772460937500e-01,2.589626312255859375e-01
2.300000000000000000e+01,8.189616352319717407e-02,2.798851951956748962e-02,8.756656199693679810e-02,9.009402990341186523e-02,4.294222593307495117e-01,2.508441209793090820e-01
2.400000000000000000e+01,7.679609954357147217e-02,2.652043104171752930e-02,8.377929776906967163e-02,8.431459218263626099e-02,4.142751097679138184e-01,2.428103834390640259e-01
2.500000000000000000e+01,7.198467105627059937e-02,2.513850852847099304e-02,8.008787035942077637e-02,7.887118309736251831e-02,3.995322585105895996e-01,2.348699271678924561e-01
2.600000000000000000e+01,6.745035201311111450e-02,2.383823320269584656e-02,7.649534940719604492e-02,7.375030219554901123e-02,3.851993381977081299e-01,2.270302027463912964e-01
2.700000000000000000e+01,6.318181008100509644e-02,2.261659316718578339e-02,7.300493121147155762e-02,6.893852353096008301e-02,3.712829649448394775e-01,2.192986756563186646e-01
2.800000000000000000e+01,5.916753038763999939e-02,2.146976999938488007e-02,6.961870938539505005e-02,6.442244350910186768e-02,3.577906787395477295e-01,2.116820514202117920e-01
2.900000000000000000e+01,5.539612472057342529e-02,2.039513923227787018e-02,6.633767485618591309e-02,6.018942221999168396e-02,3.447310924530029297e-01,2.041876614093780518e-01
3.000000000000000000e+01,5.185474082827568054e-02,1.939014345407485962e-02,6.316249072551727295e-02,5.622674897313117981e-02,3.321139514446258545e-01,1.968215405941009521e-01
3.100000000000000000e+01,4.853349179029464722e-02,1.845224946737289429e-02,6.009324267506599426e-02,5.252252891659736633e-02,3.199498355388641357e-01,1.895903646945953369e-01
3.200000000000000000e+01,4.542512074112892151e-02,1.757839135825634003e-02,5.713013932108879089e-02,4.906536266207695007e-02,3.082503676414489746e-01,1.824999898672103882e-01
3.300000000000000000e+01,4.251629486680030823e-02,1.676675304770469666e-02,5.427334457635879517e-02,4.584445059299468994e-02,2.970277965068817139e-01,1.755567789077758789e-01
3.400000000000000000e+01,3.979613631963729858e-02,1.601797714829444885e-02,5.152188614010810852e-02,4.284934699535369873e-02,2.862949073314666748e-01,1.687656491994857788e-01
3.500000000000000000e+01,3.725667297840118408e-02,1.532683148980140686e-02,4.887540638446807861e-02,4.007049277424812317e-02,2.760648429393768311e-01,1.621324419975280762e-01
3.600000000000000000e+01,3.488758578896522522e-02,1.468908973038196564e-02,4.633212834596633911e-02,3.749850764870643616e-02,2.663505971431732178e-01,1.556622385978698730e-01
3.700000000000000000e+01,3.268048539757728577e-02,1.410198956727981567e-02,4.389079660177230835e-02,3.512456268072128296e-02,2.571652829647064209e-01,1.493594944477081299e-01
3.800000000000000000e+01,3.063024021685123444e-02,1.356291770935058594e-02,4.155023023486137390e-02,3.294051438570022583e-02,2.485210001468658447e-01,1.432292759418487549e-01
3.900000000000000000e+01,2.872719056904315948e-02,1.306891441345214844e-02,3.930877149105072021e-02,3.093814477324485779e-02,2.404287159442901611e-01,1.372753530740737915e-01
4.000000000000000000e+01,2.696305327117443085e-02,1.261588931083679199e-02,3.716465830802917480e-02,2.910970151424407959e-02,2.328981757164001465e-01,1.315015554428100586e-01
4.100000000000000000e+01,2.533657476305961609e-02,1.220122072845697403e-02,3.511618822813034058e-02,2.744748815894126892e-02,2.259365022182464600e-01,1.259113848209381104e-01
4.200000000000000000e+01,2.384280040860176086e-02,1.182198897004127502e-02,3.316139429807662964e-02,2.594410628080368042e-02,2.195489406585693359e-01,1.205079257488250732e-01
4.300000000000000000e+01,2.247453667223453522e-02,1.147594489157199860e-02,3.129869699478149414e-02,2.459173090755939484e-02,2.137366682291030884e-01,1.152935549616813660e-01
4.400000000000000000e+01,2.122423052787780762e-02,1.116085611283779144e-02,2.952565625309944153e-02,2.338271029293537140e-02,2.084985673427581787e-01,1.102707460522651672e-01
4.500000000000000000e+01,2.009867690503597260e-02,1.087404787540435791e-02,2.784016728401184082e-02,2.230903506278991699e-02,2.038286328315734863e-01,1.054409891366958618e-01
4.600000000000000000e+01,1.913020387291908264e-02,1.061288733035326004e-02,2.623994089663028717e-02,2.136248722672462463e-02,1.997174024581909180e-01,1.008053570985794067e-01
4.700000000000000000e+01,1.832092180848121643e-02,1.037505827844142914e-02,2.472302131354808807e-02,2.053453586995601654e-02,1.961504220962524414e-01,9.636472165584564209e-02
4.800000000000000000e+01,1.765567436814308167e-02,1.015900913625955582e-02,2.328670769929885864e-02,1.981651037931442261e-02,1.931102871894836426e-01,9.211924672126770020e-02
4.900000000000000000e+01,1.712985895574092865e-02,9.962535463273525238e-03,2.192861959338188171e-02,1.919949799776077271e-02,1.905743926763534546e-01,8.806867152452468872e-02
5.000000000000000000e+01,1.674363389611244202e-02,9.783729910850524902e-03,2.064614556729793549e-02,1.867434941232204437e-02,1.885168552398681641e-01,8.421166986227035522e-02
5.100000000000000000e+01,1.647558808326721191e-02,9.621201083064079285e-03,1.943735033273696899e-02,1.823228597640991211e-02,1.869092881679534912e-01,8.054709434509277344e-02
5.200000000000000000e+01,1.629132963716983795e-02,9.473764337599277496e-03,1.829956285655498505e-02,1.786444149911403656e-02,1.857198327779769897e-01,7.707265019416809082e-02
5.300000000000000000e+01,1.615455746650695801e-02,9.340020827949047089e-03,1.723021827638149261e-02,1.756242103874683380e-02,1.849163323640823364e-01,7.378587871789932251e-02
5.400000000000000000e+01,1.605581119656562805e-02,9.217876940965652466e-03,1.622719317674636841e-02,1.731804013252258301e-02,1.844637244939804077e-01,7.068306952714920044e-02
5.500000000000000000e+01,1.598783768713474274e-02,9.106038138270378113e-03,1.528842933475971222e-02,1.712406612932682037e-02,1.843289136886596680e-01,6.776103377342224121e-02
5.600000000000000000e+01,1.594565808773040771e-02,9.003345854580402374e-03,1.441163755953311920e-02,1.697347313165664673e-02,1.844766139984130859e-01,6.501498073339462280e-02
5.700000000000000000e+01,1.592180505394935608e-02,8.908850140869617462e-03,1.359486859291791916e-02,1.686007902026176453e-02,1.848746240139007568e-01,6.244010478258132935e-02
5.800000000000000000e+01,1.591371744871139526e-02,8.822163566946983337e-03,1.283659320324659348e-02,1.677837781608104706e-02,1.854912042617797852e-01,6.003122031688690186e-02
5.900000000000000000e+01,1.592000573873519897e-02,8.742224425077438354e-03,1.213430147618055344e-02,1.672352105379104614e-02,1.862960010766983032e-01,5.778249725699424744e-02
6.000000000000000000e+01,1.593765057623386383e-02,8.667998947203159332e-03,1.148755475878715515e-02,1.669117063283920288e-02,1.872609704732894897e-01,5.568730831146240234e-02
6.100000000000000000e+01,1.596462167799472809e-02,8.599159307777881622e-03,1.090025808662176132e-02,1.667780429124832153e-02,1.883609741926193237e-01,5.373949557542800903e-02
6.200000000000000000e+01,1.599855720996856689e-02,8.535360917448997498e-03,1.036581210792064667e-02,1.668016426265239716e-02,1.895718127489089966e-01,5.193213745951652527e-02
6.300000000000000000e+01,1.603810489177703857e-02,8.475613780319690704e-03,9.877298027276992798e-03,1.669571362435817719e-02,1.908732503652572632e-01,5.025821179151535034e-02
6.400000000000000000e+01,1.608235575258731842e-02,8.419658988714218140e-03,9.430684149265289307e-03,1.672222465276718140e-02,1.922457963228225708e-01,4.871071130037307739e-02
6.500000000000000000e+01,1.613033376634120941e-02,8.367000147700309753e-03,9.021263569593429565e-03,1.675787381827831268e-02,1.936727166175842285e-01,4.728223383426666260e-02
6.600000000000000000e+01,1.618121564388275146e-02,8.316915482282638550e-03,8.645718917250633240e-03,1.680109463632106781e-02,1.951403468847274780e-01,4.596571996808052063e-02
6.700000000000000000e+01,1.623436436057090759e-02,8.269347250461578369e-03,8.301146328449249268e-03,1.685064472258090973e-02,1.966353803873062134e-01,4.475411027669906616e-02
6.800000000000000000e+01,1.628932543098926544e-02,8.224424906075000763e-03,7.984374649822711945e-03,1.690544933080673218e-02,1.981475055217742920e-01,4.364043474197387695e-02
6.900000000000000000e+01,1.634579710662364960e-02,8.182102814316749573e-03,7.693074643611907959e-03,1.696473173797130585e-02,1.996673941612243652e-01,4.261808842420578003e-02
7.000000000000000000e+01,1.640371419489383698e-02,8.142217062413692474e-03,7.424893323332071304e-03,1.702789776027202606e-02,2.011884003877639771e-01,4.168086126446723938e-02
7.100000000000000000e+01,1.646255515515804291e-02,8.103858679533004761e-03,7.177780847996473312e-03,1.709417998790740967e-02,2.027032077312469482e-01,4.082255810499191284e-02
7.200000000000000000e+01,1.652242988348007202e-02,8.067299611866474152e-03,6.949754431843757629e-03,1.716319657862186432e-02,2.042080312967300415e-01,4.003740102052688599e-02
7.300000000000000000e+01,1.658304780721664429e-02,8.033077232539653778e-03,6.739479955285787582e-03,1.723461225628852844e-02,2.056986987590789795e-01,3.932029753923416138e-02
7.400000000000000000e+01,1.664474979043006897e-02,8.002612739801406860e-03,6.545351352542638779e-03,1.730808429419994354e-02,2.071727365255355835e-01,3.866607695817947388e-02
7.500000000000000000e+01,1.670716330409049988e-02,7.975563406944274902e-03,6.366013549268245697e-03,1.738329976797103882e-02,2.086276710033416748e-01,3.807021304965019226e-02
7.600000000000000000e+01,1.677045598626136780e-02,7.951633073389530182e-03,6.200375966727733612e-03,1.746009662747383118e-02,2.100632786750793457e-01,3.752846270799636841e-02
7.700000000000000000e+01,1.683467067778110504e-02,7.929612882435321808e-03,6.047275383025407791e-03,1.753827556967735291e-02,2.114786207675933838e-01,3.703716397285461426e-02
7.800000000000000000e+01,1.689967699348926544e-02,7.908856496214866638e-03,5.905735306441783905e-03,1.761746965348720551e-02,2.128728777170181274e-01,3.659236431121826172e-02
7.900000000000000000e+01,1.696568541228771210e-02,7.889610715210437775e-03,5.775151774287223816e-03,1.769774779677391052e-02,2.142476141452789307e-01,3.619096800684928894e-02
8.000000000000000000e+01,1.703285053372383118e-02,7.871410809457302094e-03,5.655108485370874405e-03,1.777883246541023254e-02,2.156032770872116089e-01,3.583009541034698486e-02
8.100000000000000000e+01,1.710128225386142731e-02,7.854645140469074249e-03,5.544801708310842514e-03,1.786058582365512848e-02,2.169413268566131592e-01,3.550688922405242920e-02
8.200000000000000000e+01,1.717087067663669586e-02,7.838848978281021118e-03,5.443342961370944977e-03,1.794293150305747986e-02,2.182627618312835693e-01,3.521876037120819092e-02
8.300000000000000000e+01,1.724167726933956146e-02,7.823600433766841888e-03,5.350293591618537903e-03,1.802569441497325897e-02,2.195696085691452026e-01,3.496339544653892517e-02
8.400000000000000000e+01,1.731332764029502869e-02,7.808827795088291168e-03,5.265146028250455856e-03,1.810869202017784119e-02,2.208632528781890869e-01,3.473858535289764404e-02
8.500000000000000000e+01,1.738594099879264832e-02,7.794436533004045486e-03,5.186727270483970642e-03,1.819186657667160034e-02,2.221456170082092285e-01,3.454221412539482117e-02
8.600000000000000000e+01,1.745928265154361725e-02,7.780470419675111771e-03,5.114546976983547211e-03,1.827508769929409027e-02,2.234190851449966431e-01,3.437219187617301941e-02
8.700000000000000000e+01,1.753347553312778473e-02,7.766674738377332687e-03,5.047949496656656265e-03,1.835828460752964020e-02,2.246849834918975830e-01,3.422694653272628784e-02
8.800000000000000000e+01,1.760860532522201538e-02,7.752867881208658218e-03,4.986378829926252365e-03,1.844128035008907318e-02,2.259458899497985840e-01,3.410441800951957703e-02
8.900000000000000000e+01,1.768409833312034607e-02,7.738925982266664505e-03,4.929392132908105850e-03,1.852401904761791229e-02,2.272032946348190308e-01,3.400300815701484680e-02
9.000000000000000000e+01,1.776021718978881836e-02,7.724894676357507706e-03,4.876458551734685898e-03,1.860638894140720367e-02,2.284584939479827881e-01,3.392081707715988159e-02
9.100000000000000000e+01,1.783695071935653687e-02,7.710781879723072052e-03,4.827217198908329010e-03,1.868824847042560577e-02,2.297154664993286133e-01,3.385653719305992126e-02
9.200000000000000000e+01,1.791357807815074921e-02,7.696601096540689468e-03,4.781132563948631287e-03,1.876953616738319397e-02,2.309736460447311401e-01,3.380832821130752563e-02
9.300000000000000000e+01,1.799021847546100616e-02,7.682411000132560730e-03,4.738004878163337708e-03,1.885020919144153595e-02,2.322362363338470459e-01,3.377480432391166687e-02
9.400000000000000000e+01,1.806730590760707855e-02,7.668172474950551987e-03,4.697480704635381699e-03,1.893020235002040863e-02,2.335041165351867676e-01,3.375465795397758484e-02
9.500000000000000000e+01,1.814363710582256317e-02,7.653869688510894775e-03,4.659075755625963211e-03,1.900933682918548584e-02,2.347792088985443115e-01,3.374612703919410706e-02
9.600000000000000000e+01,1.821947097778320312e-02,7.639555260539054871e-03,4.622696898877620697e-03,1.908770948648452759e-02,2.360626310110092163e-01,3.374814987182617188e-02
9.700000000000000000e+01,1.829488761723041534e-02,7.625286933034658432e-03,4.587821662425994873e-03,1.916517317295074463e-02,2.373562306165695190e-01,3.375928848981857300e-02
9.800000000000000000e+01,1.836990751326084137e-02,7.611087057739496231e-03,4.554381594061851501e-03,1.924172788858413696e-02,2.386611402034759521e-01,3.377848863601684570e-02
9.900000000000000000e+01,1.844376139342784882e-02,7.596994750201702118e-03,4.522176459431648254e-03,1.931727118790149689e-02,2.399779856204986572e-01,3.380422666668891907e-02
1.000000000000000000e+02,1.851638406515121460e-02,7.583145052194595337e-03,4.490984138101339340e-03,1.939183287322521210e-02,2.413086593151092529e-01,3.383574262261390686e-02
1.010000000000000000e+02,1.858769729733467102e-02,7.569461129605770111e-03,4.460645373910665512e-03,1.946533098816871643e-02,2.426530569791793823e-01,3.387164324522018433e-02
