# Re_ref,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
4.000000000000000000e+01,1.001391291618347168e+00,6.522799283266067505e-02,2.806512415409088135e-01,9.958828091621398926e-01,1.040752887725830078e+00,1.049687266349792480e+00
4.000000000000000000e+01,4.503403902053833008e-01,6.485661864280700684e-02,5.326411128044128418e-02,4.969902932643890381e-01,1.034939646720886230e+00,1.883399784564971924e-01
4.000000000000000000e+01,4.139922857284545898e-01,6.091583147644996643e-02,7.037401944398880005e-02,4.499922990798950195e-01,9.822627902030944824e-01,2.551064193248748779e-01
4.000000000000000000e+01,3.889718651771545410e-01,6.133253127336502075e-02,6.765802949666976929e-02,4.349961876869201660e-01,9.890245199203491211e-01,2.435350567102432251e-01
4.000000000000000000e+01,3.762250542640686035e-01,6.266891211271286011e-02,5.536539480090141296e-02,4.241086840629577637e-01,1.015834093093872070e+00,2.042664438486099243e-01
4.000000000000000000e+01,2.272033244371414185e-01,5.681765824556350708e-02,6.922492384910583496e-02,2.766897678375244141e-01,9.514005184173583984e-01,2.569921314716339111e-01
4.000000000000000000e+01,7.618711888790130615e-02,3.463305160403251648e-02,5.435502156615257263e-02,8.974151313304901123e-02,6.073459982872009277e-01,2.018618881702423096e-01
4.000000000000000000e+01,6.564180552959442139e-02,2.377613447606563568e-02,4.730823636054992676e-02,7.590865343809127808e-02,4.517522156238555908e-01,1.791597902774810791e-01
4.000000000000000000e+01,6.189879029989242554e-02,2.224082127213478088e-02,4.369415342807769775e-02,7.114052772521972656e-02,4.311442077159881592e-01,1.655909121036529541e-01
4.000000000000000000e+01,5.722161382436752319e-02,2.094154618680477142e-02,4.854868724942207336e-02,6.463510543107986450e-02,4.079203903675079346e-01,1.829692870378494263e-01
4.000000000000000000e+01,4.934792965650558472e-02,2.235197462141513824e-02,4.754149168729782104e-02,5.762849375605583191e-02,4.233642220497131348e-01,1.797203570604324341e-01
4.000000000000000000e+01,5.030268803238868713e-02,2.068055234849452972e-02,4.517963156104087830e-02,5.582097917795181274e-02,3.963194191455841064e-01,1.678871363401412964e-01
4.000000000000000000e+01,3.384068980813026428e-02,2.009161002933979034e-02,4.362400993704795837e-02,4.030283540487289429e-02,3.737614452838897705e-01,1.652772873640060425e-01
4.000000000000000000e+01,6.532079726457595825e-02,2.931065671145915985e-02,4.005959257483482361e-02,6.985748559236526489e-02,5.080072283744812012e-01,1.520217061042785645e-01
4.000000000000000000e+01,3.831546753644943237e-02,1.889490336179733276e-02,3.686419501900672913e-02,4.404798895120620728e-02,3.569438159465789795e-01,1.406908780336380005e-01
4.000000000000000000e+01,2.783321775496006012e-02,1.725803501904010773e-02,4.620147496461868286e-02,3.294165432453155518e-02,3.281127512454986572e-01,1.703647971153259277e-01
4.000000000000000000e+01,3.344099596142768860e-02,1.561739202588796616e-02,3.621952980756759644e-02,3.884044289588928223e-02,3.043885827064514160e-01,1.366591453552246094e-01
4.000000000000000000e+01,4.352103918790817261e-02,1.648760773241519928e-02,3.378748148679733276e-02,4.872732982039451599e-02,3.189617395401000977e-01,1.301142573356628418e-01
4.000000000000000000e+01,2.740494906902313232e-02,1.321936212480068207e-02,3.151357173919677734e-02,3.052886575460433960e-02,2.611932754516601562e-01,1.198935061693191528e-01
4.000000000000000000e+01,2.772405371069908142e-02,1.453338004648685455e-02,2.724848687648773193e-02,3.189893811941146851e-02,2.798378169536590576e-01,1.004625931382179260e-01
4.000000000000000000e+01,3.126430511474609375e-02,1.315489783883094788e-02,3.065845370292663574e-02,3.482514992356300354e-02,2.577139437198638916e-01,1.119701117277145386e-01
4.000000000000000000e+01,3.839160874485969543e-02,1.331395562738180161e-02,2.441100217401981354e-02,3.940939530730247498e-02,2.493547648191452026e-01,9.183569997549057007e-02
4.000000000000000000e+01,2.739637717604637146e-02,1.214750856161117554e-02,2.604421973228454590e-02,3.064448758959770203e-02,2.338046282529830933e-01,9.485941380262374878e-02
4.000000000000000000e+01,2.803694456815719604e-02,1.128683425486087799e-02,2.152154408395290375e-02,3.147971257567405701e-02,2.282754182815551758e-01,7.885075360536575317e-02
4.000000000000000000e+01,2.256752923130989075e-02,1.293065305799245834e-02,2.878482453525066376e-02,2.606873400509357452e-02,2.347700744867324829e-01,1.029674634337425232e-01
4.000000000000000000e+01,3.619337454438209534e-02,1.382386777549982071e-02,2.103537321090698242e-02,4.185014218091964722e-02,2.677240669727325439e-01,7.725606858730316162e-02
