Re,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
1.000000000000000000e+00,1.949298530817031860e-01,1.316422671079635620e-01,6.994811445474624634e-02,2.380887418985366821e-01,9.468657374382019043e-01,1.832483708858489990e-01
2.000000000000000000e+00,1.677537262439727783e-01,1.186484768986701965e-01,6.714836508035659790e-02,2.038557231426239014e-01,8.905253410339355469e-01,1.787197291851043701e-01
3.000000000000000000e+00,1.509486585855484009e-01,1.088285520672798157e-01,6.491184234619140625e-02,1.821347028017044067e-01,8.499290943145751953e-01,1.747476160526275635e-01
4.000000000000000000e+00,1.383751630783081055e-01,1.005464121699333191e-01,6.285073608160018921e-02,1.658729314804077148e-01,8.155584335327148438e-01,1.707392632961273193e-01
5.000000000000000000e+00,1.281644105911254883e-01,9.326209872961044312e-02,6.085083633661270142e-02,1.526638716459274292e-01,7.844267487525939941e-01,1.665700525045394897e-01
6.000000000000000000e+00,1.194615736603736877e-01,8.672585338354110718e-02,5.887103825807571411e-02,1.413988173007965088e-01,7.552863359451293945e-01,1.622257381677627563e-01
7.000000000000000000e+00,1.117965355515480042e-01,8.078801631927490234e-02,5.689562484622001648e-02,1.314892321825027466e-01,7.275483012199401855e-01,1.577276289463043213e-01
8.000000000000000000e+00,1.048828214406967163e-01,7.536458224058151245e-02,5.491785332560539246e-02,1.225970312952995300e-01,7.009206414222717285e-01,1.531075835227966309e-01
9.000000000000000000e+00,9.855648130178451538e-02,7.039575278759002686e-02,5.294022709131240845e-02,1.145180016756057739e-01,6.752552986145019531e-01,1.483996957540512085e-01
1.000000000000000000e+01,9.270135313272476196e-02,6.583028286695480347e-02,5.096908286213874817e-02,1.071242764592170715e-01,6.504781842231750488e-01,1.436351835727691650e-01
1.100000000000000000e+01,8.724744617938995361e-02,6.161923334002494812e-02,4.900766909122467041e-02,1.003327891230583191e-01,6.265497803688049316e-01,1.388406604528427124e-01
1.200000000000000000e+01,8.215530216693878174e-02,5.773473531007766724e-02,4.705348983407020569e-02,9.408694505691528320e-02,6.034468412399291992e-01,1.340381056070327759e-01
1.300000000000000000e+01,7.740012556314468384e-02,5.415376648306846619e-02,4.511133953928947449e-02,8.834606409072875977e-02,5.811518430709838867e-01,1.292452514171600342e-01
1.400000000000000000e+01,7.297787815332412720e-02,5.083587765693664551e-02,4.318290576338768005e-02,8.307839184999465942e-02,5.596471428871154785e-01,1.244760453701019287e-01
1.500000000000000000e+01,6.887916475534439087e-02,4.775824770331382751e-02,4.127346724271774292e-02,7.825736701488494873e-02,5.389136672019958496e-01,1.197410225868225098e-01
1.600000000000000000e+01,6.507962197065353394e-02,4.490574449300765991e-02,3.938819095492362976e-02,7.385867834091186523e-02,5.189296603202819824e-01,1.150486841797828674e-01
1.700000000000000000e+01,6.156909093260765076e-02,4.225570335984230042e-02,3.752851113677024841e-02,6.985916942358016968e-02,4.996714591979980469e-01,1.104054600000381470e-01
1.800000000000000000e+01,5.834374204277992249e-02,3.978656604886054993e-02,3.569631278514862061e-02,6.623588502407073975e-02,4.811126291751861572e-01,1.058167666196823120e-01
1.900000000000000000e+01,5.539908632636070251e-02,3.748396411538124084e-02,3.389394655823707581e-02,6.296538561582565308e-02,4.632269740104675293e-01,1.012870296835899353e-01
2.000000000000000000e+01,5.271460115909576416e-02,3.533474355936050415e-02,3.212651237845420837e-02,6.002399325370788574e-02,4.459868669509887695e-01,9.682010859251022339e-02
2.100000000000000000e+01,5.028183758258819580e-02,3.332686796784400940e-02,3.039387427270412445e-02,5.738747864961624146e-02,4.293651282787322998e-01,9.241943806409835815e-02
2.200000000000000000e+01,4.808576405048370361e-02,3.144568577408790588e-02,2.869970723986625671e-02,5.503137782216072083e-02,4.133349061012268066e-01,8.808892965316772461e-02
2.300000000000000000e+01,4.611713439226150513e-02,2.968126535415649414e-02,2.704759500920772552e-02,5.293125286698341370e-02,3.978706002235412598e-01,8.383201062679290771e-02
2.400000000000000000e+01,4.437107220292091370e-02,2.802475541830062866e-02,2.543829195201396942e-02,5.106277391314506531e-02,3.829472959041595459e-01,7.965240627527236938e-02
2.500000000000000000e+01,4.282469674944877625e-02,2.646830119192600250e-02,2.387425489723682404e-02,4.940230771899223328e-02,3.685415089130401611e-01,7.555429637432098389e-02
2.600000000000000000e+01,4.147756844758987427e-02,2.500456385314464569e-02,2.235758863389492035e-02,4.792700335383415222e-02,3.546310663223266602e-01,7.154197245836257935e-02
2.700000000000000000e+01,4.030469432473182678e-02,2.362516708672046661e-02,2.089015021920204163e-02,4.661507159471511841e-02,3.411949872970581055e-01,6.762045621871948242e-02
2.800000000000000000e+01,3.929376974701881409e-02,2.232456021010875702e-02,1.947436481714248657e-02,4.544608667492866516e-02,3.282138705253601074e-01,6.379515677690505981e-02
2.900000000000000000e+01,3.842502087354660034e-02,2.109773829579353333e-02,1.811149902641773224e-02,4.440105333924293518e-02,3.156693875789642334e-01,6.007215380668640137e-02
3.000000000000000000e+01,3.766355663537979126e-02,1.993973180651664734e-02,1.680265367031097412e-02,4.346271604299545288e-02,3.035446703433990479e-01,5.645864829421043396e-02
3.100000000000000000e+01,3.699755668640136719e-02,1.884607970714569092e-02,1.555034052580595016e-02,4.261528328061103821e-02,2.918238639831542969e-01,5.296269804239273071e-02
3.200000000000000000e+01,3.641830384731292725e-02,1.781294681131839752e-02,1.435611769556999207e-02,4.184474423527717590e-02,2.804926037788391113e-01,4.959358647465705872e-02
3.300000000000000000e+01,3.593175485730171204e-02,1.683624275028705597e-02,1.322216074913740158e-02,4.113861918449401855e-02,2.695372402667999268e-01,4.636245220899581909e-02
3.400000000000000000e+01,3.551147133111953735e-02,1.591247133910655975e-02,1.215009577572345734e-02,4.048596322536468506e-02,2.589450776576995850e-01,4.328230768442153931e-02
3.500000000000000000e+01,3.513433784246444702e-02,1.503909938037395477e-02,1.114235818386077881e-02,3.987725451588630676e-02,2.487049251794815063e-01,4.036830365657806396e-02
3.600000000000000000e+01,3.478309884667396545e-02,1.421294547617435455e-02,1.020243391394615173e-02,3.930429369211196899e-02,2.388056665658950806e-01,3.763867914676666260e-02
3.700000000000000000e+01,3.444308042526245117e-02,1.343133673071861267e-02,9.334580972790718079e-03,3.875999897718429565e-02,2.292375862598419189e-01,3.511415421962738037e-02
3.800000000000000000e+01,3.411269560456275940e-02,1.269229128956794739e-02,8.544928394258022308e-03,3.823854029178619385e-02,2.199918925762176514e-01,3.281887620687484741e-02
3.900000000000000000e+01,3.379055857658386230e-02,1.199324708431959152e-02,7.846257649362087250e-03,3.773472830653190613e-02,2.110596746206283569e-01,3.077947907149791718e-02
4.000000000000000000e+01,3.347523510456085205e-02,1.133210211992263794e-02,7.257251068949699402e-03,3.724447265267372131e-02,2.024338841438293457e-01,2.902396023273468018e-02
4.100000000000000000e+01,3.315905109047889709e-02,1.070705149322748184e-02,6.763379089534282684e-03,3.676434978842735291e-02,1.941071748733520508e-01,2.757989428937435150e-02
4.200000000000000000e+01,3.283914178609848022e-02,1.011619903147220612e-02,6.359138526022434235e-03,3.629142791032791138e-02,1.860734075307846069e-01,2.647090330719947815e-02
4.300000000000000000e+01,3.251443430781364441e-02,9.558034129440784454e-03,6.038337945938110352e-03,3.582345321774482727e-02,1.783265322446823120e-01,2.571271173655986786e-02
4.400000000000000000e+01,3.218428790569305420e-02,9.030764922499656677e-03,5.811701063066720963e-03,3.535848855972290039e-02,1.708613634109497070e-01,2.530957013368606567e-02
4.500000000000000000e+01,3.184818848967552185e-02,8.532191626727581024e-03,5.715187638998031616e-03,3.489519655704498291e-02,1.636733710765838623e-01,2.525170519948005676e-02
4.600000000000000000e+01,3.150471672415733337e-02,8.062034845352172852e-03,5.771739874035120010e-03,3.443234786391258240e-02,1.567581593990325928e-01,2.551575936377048492e-02
4.700000000000000000e+01,3.115295805037021637e-02,7.618357893079519272e-03,5.909956060349941254e-03,3.396916389465332031e-02,1.501124054193496704e-01,2.606746368110179901e-02
4.800000000000000000e+01,3.079275600612163544e-02,7.199527695775032043e-03,6.103040184825658798e-03,3.350510075688362122e-02,1.437328755855560303e-01,2.686628326773643494e-02
4.900000000000000000e+01,3.042401373386383057e-02,6.805019453167915344e-03,6.336490623652935028e-03,3.303966298699378967e-02,1.376166641712188721e-01,2.786944992840290070e-02
5.000000000000000000e+01,3.005085699260234833e-02,6.433090195059776306e-03,6.601219996809959412e-03,3.257266059517860413e-02,1.317617744207382202e-01,2.903609164059162140e-02
5.100000000000000000e+01,2.967277541756629944e-02,6.083336193114519119e-03,6.892155390232801437e-03,3.210393339395523071e-02,1.261660605669021606e-01,3.032903745770454407e-02
5.200000000000000000e+01,2.928715758025646210e-02,5.754705052822828293e-03,7.194195408374071121e-03,3.163358941674232483e-02,1.208283975720405579e-01,3.171608597040176392e-02
5.300000000000000000e+01,2.889425680041313171e-02,5.445846356451511383e-03,7.496508769690990448e-03,3.116163052618503571e-02,1.157473474740982056e-01,3.316991776227951050e-02
5.400000000000000000e+01,2.849333174526691437e-02,5.156731698662042618e-03,7.790625095367431641e-03,3.068829886615276337e-02,1.109224408864974976e-01,3.466787561774253845e-02
5.500000000000000000e+01,2.808432653546333313e-02,4.885569680482149124e-03,8.075013756752014160e-03,3.021384775638580322e-02,1.063526794314384460e-01,3.619166836142539978e-02
5.600000000000000000e+01,2.766747772693634033e-02,4.633015953004360199e-03,8.348205126821994781e-03,2.973849698901176453e-02,1.020378246903419495e-01,3.772626444697380066e-02
5.700000000000000000e+01,2.724321372807025909e-02,4.397266078740358353e-03,8.609645999968051910e-03,2.926262468099594116e-02,9.797746688127517700e-02,3.925926610827445984e-02
5.800000000000000000e+01,2.681154571473598480e-02,4.178766161203384399e-03,8.858767338097095490e-03,2.878664247691631317e-02,9.417126327753067017e-02,4.078109934926033020e-02
5.900000000000000000e+01,2.637273818254470825e-02,3.977763932198286057e-03,9.095161221921443939e-03,2.831084467470645905e-02,9.061846137046813965e-02,4.228353127837181091e-02
6.000000000000000000e+01,2.592734061181545258e-02,3.794747637584805489e-03,9.318421594798564911e-03,2.783572301268577576e-02,8.731834590435028076e-02,4.376030340790748596e-02
6.100000000000000000e+01,2.547577396035194397e-02,3.628531238064169884e-03,9.528613649308681488e-03,2.736166864633560181e-02,8.426927775144577026e-02,4.520616307854652405e-02
6.200000000000000000e+01,2.501838468015193939e-02,3.478260478004813194e-03,9.725671261548995972e-03,2.688910625874996185e-02,8.146947622299194336e-02,4.661687090992927551e-02
6.300000000000000000e+01,2.455578185617923737e-02,3.343291813507676125e-03,9.909548796713352203e-03,2.641851082444190979e-02,7.891600579023361206e-02,4.798886179924011230e-02
6.400000000000000000e+01,2.408840321004390717e-02,3.221366088837385178e-03,1.008037384599447250e-02,2.595031075179576874e-02,7.660499960184097290e-02,4.931950196623802185e-02
6.500000000000000000e+01,2.361685410141944885e-02,3.111306112259626389e-03,1.023836061358451843e-02,2.548496425151824951e-02,7.453167438507080078e-02,5.060637742280960083e-02
6.600000000000000000e+01,2.314146794378757477e-02,3.011952619999647141e-03,1.038369536399841309e-02,2.502290718257427216e-02,7.268976420164108276e-02,5.184803903102874756e-02
6.700000000000000000e+01,2.266274020075798035e-02,2.922700019553303719e-03,1.051632221788167953e-02,2.456467226147651672e-02,7.107176631689071655e-02,5.304272100329399109e-02
6.800000000000000000e+01,2.218110114336013794e-02,2.842442132532596588e-03,1.063678041100502014e-02,2.411070838570594788e-02,6.966910511255264282e-02,5.418962985277175903e-02
6.900000000000000000e+01,2.169726230204105377e-02,2.769761485978960991e-03,1.074516493827104568e-02,2.366137132048606873e-02,6.847144663333892822e-02,5.528758466243743896e-02
7.000000000000000000e+01,2.121195569634437561e-02,2.704472746700048447e-03,1.084184274077415466e-02,2.321723289787769318e-02,6.746774166822433472e-02,5.633600056171417236e-02
7.100000000000000000e+01,2.072581090033054352e-02,2.646010834723711014e-03,1.092694886028766632e-02,2.277876995503902435e-02,6.664577871561050415e-02,5.733405053615570068e-02
7.200000000000000000e+01,2.024804987013339996e-02,2.594209741801023483e-03,1.100085116922855377e-02,2.234636247158050537e-02,6.599246710538864136e-02,5.828202888369560242e-02
7.300000000000000000e+01,1.978282257914543152e-02,2.549389610067009926e-03,1.106374245136976242e-02,2.192058414220809937e-02,6.549400836229324341e-02,5.917921662330627441e-02
7.400000000000000000e+01,1.933165639638900757e-02,2.510788850486278534e-03,1.111604925245046616e-02,2.150182425975799561e-02,6.513654440641403198e-02,6.002555415034294128e-02
7.500000000000000000e+01,1.889762654900550842e-02,2.477900590747594833e-03,1.115797739475965500e-02,2.109065651893615723e-02,6.490580737590789795e-02,6.082128733396530151e-02
7.600000000000000000e+01,1.848608627915382385e-02,2.449046820402145386e-03,1.118999067693948746e-02,2.068750374019145966e-02,6.478778272867202759e-02,6.156608834862709045e-02
7.700000000000000000e+01,1.809493452310562134e-02,2.424045931547880173e-03,1.121216081082820892e-02,2.029276080429553986e-02,6.476896256208419800e-02,6.226016208529472351e-02
7.800000000000000000e+01,1.772407814860343933e-02,2.402837853878736496e-03,1.122502982616424561e-02,1.990702562034130096e-02,6.483585387468338013e-02,6.290363520383834839e-02
7.900000000000000000e+01,1.737309619784355164e-02,2.384557621553540230e-03,1.122875511646270752e-02,1.953073218464851379e-02,6.497614830732345581e-02,6.349690258502960205e-02
8.000000000000000000e+01,1.704311370849609375e-02,2.368947956711053848e-03,1.122365053743124008e-02,1.916441693902015686e-02,6.517800688743591309e-02,6.403992325067520142e-02
8.100000000000000000e+01,1.673671975731849670e-02,2.355382544919848442e-03,1.120994985103607178e-02,1.880843937397003174e-02,6.543044000864028931e-02,6.453287601470947266e-02
8.200000000000000000e+01,1.644922420382499695e-02,2.343772212043404579e-03,1.118801254779100418e-02,1.846342533826828003e-02,6.572333723306655884e-02,6.497664004564285278e-02
8.300000000000000000e+01,1.617647707462310791e-02,2.333693439140915871e-03,1.115812640637159348e-02,1.812977902591228485e-02,6.604763120412826538e-02,6.537113338708877563e-02
8.400000000000000000e+01,1.591765321791172028e-02,2.324735745787620544e-03,1.112053357064723969e-02,1.780800707638263702e-02,6.639448553323745728e-02,6.571661680936813354e-02
8.500000000000000000e+01,1.567134447395801544e-02,2.317068632692098618e-03,1.107544079422950745e-02,1.749852299690246582e-02,6.675684452056884766e-02,6.601338833570480347e-02
8.600000000000000000e+01,1.543602254241704941e-02,2.310527954250574112e-03,1.102329138666391373e-02,1.720187254250049591e-02,6.712780892848968506e-02,6.626237928867340088e-02
8.700000000000000000e+01,1.521189417690038681e-02,2.304865745827555656e-03,1.096411421895027161e-02,1.691847667098045349e-02,6.750144809484481812e-02,6.646327674388885498e-02
8.800000000000000000e+01,1.499810442328453064e-02,2.300155116245150566e-03,1.089823339134454727e-02,1.664876006543636322e-02,6.787268817424774170e-02,6.661681830883026123e-02
8.900000000000000000e+01,1.479550637304782867e-02,2.296158578246831894e-03,1.082597114145755768e-02,1.639319024980068207e-02,6.823678314685821533e-02,6.672360002994537354e-02
9.000000000000000000e+01,1.460332982242107391e-02,2.292151097208261490e-03,1.074754353612661362e-02,1.615215651690959930e-02,6.859026849269866943e-02,6.678368151187896729e-02
9.100000000000000000e+01,1.442109514027833939e-02,2.287857234477996826e-03,1.066316198557615280e-02,1.592601276934146881e-02,6.892961263656616211e-02,6.679801642894744873e-02
9.200000000000000000e+01,1.424938347190618515e-02,2.283087233081459999e-03,1.057300902903079987e-02,1.571513712406158447e-02,6.925217062234878540e-02,6.676658242940902710e-02
9.300000000000000000e+01,1.408832054585218430e-02,2.277778927236795425e-03,1.047728583216667175e-02,1.551985368132591248e-02,6.955556571483612061e-02,6.668979674577713013e-02
9.400000000000000000e+01,1.393790915608406067e-02,2.272065728902816772e-03,1.037623081356287003e-02,1.534043066203594208e-02,6.983815133571624756e-02,6.656819581985473633e-02
9.500000000000000000e+01,1.379823870956897736e-02,2.265756716951727867e-03,1.027013361454010010e-02,1.517711952328681946e-02,7.009889185428619385e-02,6.640261411666870117e-02
9.600000000000000000e+01,1.366688497364521027e-02,2.258524531498551369e-03,1.015906222164630890e-02,1.503008976578712463e-02,7.033628225326538086e-02,6.619298458099365234e-02
