nn,key_id,l2_u_ref_mean,l2_v_ref_mean,l2_p_ref_mean,sweep_median_l2_u_mean,sweep_median_l2_v_mean,sweep_median_l2_p_mean,n_params_mean,time_train_mean,l2_u_ref_std,l2_v_ref_std,l2_p_ref_std,sweep_median_l2_u_std,sweep_median_l2_v_std,sweep_median_l2_p_std,n_params_std,time_train_std,l2_u_ref_median,l2_v_ref_median,l2_p_ref_median,sweep_median_l2_u_median,sweep_median_l2_v_median,sweep_median_l2_p_median,n_params_median,time_train_median,n_trials
8,LPA_K3_N16,0.039303302201157304,0.17640367382046424,0.08392514926392688,0.024373402819037437,0.18380968123674393,0.0834665272384882,2827.0,422.62513942718505,0.02253913134186929,0.04269889846060595,0.028840292003074357,0.016967714258104796,0.11389941686282391,0.04603393248314461,0.0,5.656482975428898,0.04933426249641078,0.1854984264833742,0.0743324093597434,0.017450368031859398,0.14821060001850128,0.10667911916971207,2827.0,420.9408881664276,5
8,VAN,0.0558124726597383,0.32677713344506965,0.11857705434257229,0.054829221591353415,0.385475854575634,0.06855415031313897,2571.0,270.7190011024475,0.03771654012576181,0.10789902094448972,0.035660805024597085,0.0404356056248733,0.17061299353259443,0.02379164870301366,0.0,2.3235334911002177,0.03442286560436333,0.2816603659957274,0.12256802287633649,0.037840913981199265,0.38965120911598206,0.0582038089632988,2571.0,271.30917525291443,5
16,LPA_K3_N16,0.04686257707055841,0.20406937812975084,0.09698300728727301,0.024426646903157233,0.2081823006272316,0.05571731254458427,4691.0,504.83385224342345,0.036764223680813536,0.08719539690871672,0.05067087996162771,0.013730198793746297,0.1010063353762611,0.02717796274979801,0.0,20.755513639976243,0.034298196928206036,0.15585279192423432,0.07854915353372743,0.01823466271162033,0.15750166773796082,0.05005141347646713,4691.0,510.3336260318756,5
16,VAN,0.03590274790458171,0.24234980555266325,0.10286083297238309,0.028307907283306122,0.25031558275222776,0.11016272902488708,4435.0,357.31293830871584,0.016404735742698417,0.03583028970630007,0.02920918732724323,0.01259545103664647,0.07498279556080452,0.06517475881370703,0.0,13.323764371725321,0.029109700787632455,0.23289818292972958,0.09403256182293829,0.03501660376787186,0.28897133469581604,0.07016453891992569,4435.0,357.14379596710205,5
32,LPA_K3_N16,0.05434909310921804,0.20544327371764207,0.10090163747649632,0.02598791252821684,0.18437579572200774,0.046655602380633356,9955.0,673.2597560882568,0.03430896191287682,0.07807654954698134,0.06443923012351384,0.013952182772079415,0.09597326161158624,0.021918276502396857,0.0,33.49142054586234,0.07244232156522921,0.2099273288532443,0.07002795683140448,0.027168774977326393,0.1847383975982666,0.05539095029234886,9955.0,686.8056890964508,5
32,VAN,0.02449694776718949,0.19590049077175234,0.07042085437929697,0.02354942373931408,0.1800312653183937,0.0500072292983532,9699.0,510.3214343547821,0.007813517089858071,0.022349310870311223,0.015659661217436657,0.008952032371716163,0.05513383659869128,0.018127038185399187,0.0,16.371061922674905,0.02842416881490736,0.18598271414597156,0.07146569087115916,0.02109297178685665,0.16891837120056152,0.0404021255671978,9699.0,510.6389088630676,5
64,LPA_K3_N16,0.06969923003514443,0.1922529844663881,0.09619112563927562,0.0411495391279459,0.21342924237251282,0.0881626658141613,26627.0,1234.476303958893,0.03356264928652672,0.03610176808592457,0.0847925208890585,0.010108163843481266,0.07756277728237757,0.06386142349258023,0.0,18.520001105182846,0.07719698931684155,0.1953858930928211,0.06694693631185135,0.04268520325422287,0.20553530752658844,0.06458990275859833,26627.0,1231.9165318012238,5
64,VAN,0.034870837798880436,0.2597797911709755,0.07375048051934811,0.03335057776421309,0.3350015878677368,0.07924053892493248,26371.0,1073.388806438446,0.012221829681018745,0.05244429168147215,0.026578416643235958,0.017420986119188995,0.13826918484496192,0.03192930973229387,0.0,32.436873808379225,0.04021818437209029,0.22952924184334986,0.0790527428488277,0.0322435088455677,0.2811259627342224,0.07684115320444107,26371.0,1086.0971550941467,5
