# Re_ref,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
4.000000000000000000e+01,1.002079367637634277e+00,5.662764981389045715e-02,2.766666114330291748e-01,9.966000914573669434e-01,9.632739424705505371e-01,1.024379968643188477e+00
4.000000000000000000e+01,4.474309682846069336e-01,6.518897414207458496e-02,5.866304412484169006e-02,4.938979446887969971e-01,1.039554238319396973e+00,2.203511148691177368e-01
4.000000000000000000e+01,3.828666210174560547e-01,6.156066805124282837e-02,5.848474055528640747e-02,4.311667978763580322e-01,9.898316860198974609e-01,2.139144241809844971e-01
4.000000000000000000e+01,1.067938953638076782e-01,5.004258453845977783e-02,6.221522390842437744e-02,1.303275078535079956e-01,8.276385664939880371e-01,2.283294051885604858e-01
4.000000000000000000e+01,6.978341937065124512e-02,3.818587213754653931e-02,4.970845207571983337e-02,7.593774050474166870e-02,6.527531743049621582e-01,1.884054392576217651e-01
4.000000000000000000e+01,7.182244956493377686e-02,3.459784388542175293e-02,4.115071520209312439e-02,7.694000750780105591e-02,6.141074895858764648e-01,1.570134460926055908e-01
4.000000000000000000e+01,4.827570170164108276e-02,2.710014581680297852e-02,5.352786183357238770e-02,5.070187896490097046e-02,4.823306202888488770e-01,1.962263733148574829e-01
4.000000000000000000e+01,4.217907041311264038e-02,2.237147465348243713e-02,4.645542055368423462e-02,4.449617117643356323e-02,4.097187519073486328e-01,1.694190204143524170e-01
4.000000000000000000e+01,3.252295032143592834e-02,1.894360408186912537e-02,3.020776994526386261e-02,3.614317625761032104e-02,3.609470725059509277e-01,1.132594794034957886e-01
4.000000000000000000e+01,4.656648635864257812e-02,1.860722340643405914e-02,3.083136864006519318e-02,5.000546947121620178e-02,3.444878756999969482e-01,1.121340915560722351e-01
4.000000000000000000e+01,3.311650454998016357e-02,1.517751440405845642e-02,2.974538505077362061e-02,3.586022183299064636e-02,2.958608567714691162e-01,1.073331385850906372e-01
4.000000000000000000e+01,2.995418384671211243e-02,1.615100726485252380e-02,4.490967839956283569e-02,3.436109423637390137e-02,3.083665370941162109e-01,1.547299176454544067e-01
4.000000000000000000e+01,7.636252045631408691e-02,2.195033617317676544e-02,5.284184589982032776e-02,7.956933975219726562e-02,3.586147427558898926e-01,1.807377189397811890e-01
4.000000000000000000e+01,3.025444969534873962e-02,1.383511628955602646e-02,2.531189844012260437e-02,3.330729901790618896e-02,2.627031803131103516e-01,9.080280363559722900e-02
4.000000000000000000e+01,2.884643524885177612e-02,1.365960668772459030e-02,2.322917617857456207e-02,3.109306097030639648e-02,2.626471817493438721e-01,8.333206921815872192e-02
4.000000000000000000e+01,4.404726997017860413e-02,1.302521955221891403e-02,2.158667705953121185e-02,4.485465586185455322e-02,2.401569038629531860e-01,7.782123237848281860e-02
4.000000000000000000e+01,2.132589183747768402e-02,1.202534604817628860e-02,2.838431112468242645e-02,2.383556403219699860e-02,2.312649339437484741e-01,9.908997267484664917e-02
4.000000000000000000e+01,3.907465189695358276e-02,1.300972141325473785e-02,1.666639745235443115e-02,3.926395624876022339e-02,2.402277439832687378e-01,6.078316271305084229e-02
4.000000000000000000e+01,3.353935480117797852e-02,1.391175109893083572e-02,2.254326082766056061e-02,3.585019335150718689e-02,2.538543939590454102e-01,8.121261000633239746e-02
4.000000000000000000e+01,2.222674898803234100e-02,9.487766772508621216e-03,2.392905019223690033e-02,2.459798194468021393e-02,1.791618764400482178e-01,8.298208564519882202e-02
4.000000000000000000e+01,2.514587529003620148e-02,1.495374180376529694e-02,2.613793686032295227e-02,2.759252116084098816e-02,2.646903991699218750e-01,9.080338478088378906e-02
4.000000000000000000e+01,1.857289485633373260e-02,1.096319314092397690e-02,1.734658889472484589e-02,2.103060297667980194e-02,1.951863765716552734e-01,6.207815557718276978e-02
4.000000000000000000e+01,2.297589182853698730e-02,1.049426011741161346e-02,2.457238174974918365e-02,2.484081126749515533e-02,1.915156245231628418e-01,8.645816892385482788e-02
4.000000000000000000e+01,2.200356684625148773e-02,9.912607260048389435e-03,2.503868937492370605e-02,2.289288118481636047e-02,1.784645617008209229e-01,8.642366528511047363e-02
4.000000000000000000e+01,1.449058204889297485e-02,1.288140751421451569e-02,1.865622773766517639e-02,1.685962453484535217e-02,2.290909439325332642e-01,6.640673428773880005e-02
4.000000000000000000e+01,1.788126863539218903e-02,1.059096213430166245e-02,2.160695008933544159e-02,2.000255882740020752e-02,1.954544484615325928e-01,7.540819793939590454e-02
