4.933435134529285393e-01,1.216596943899909578e+00
4.114340738636255157e-01,1.023562077202067933e+00
4.578421504093463379e-01,1.154667618377891003e+00
8.564394376633990280e-01,2.112066789861589022e+00
1.020622422559746445e+00,2.483130075772105982e+00
9.224452521372641378e-01,2.238376237866877894e+00
8.997460258627437701e-01,2.170718947983868219e+00
8.462666590268358435e-01,2.042878588144944274e+00
7.574979371897830882e-01,1.821126915242696764e+00
7.272990167307116227e-01,1.750255029562063136e+00
6.743661595889460791e-01,1.620173754231972074e+00
6.689510339120781079e-01,1.609941291993781887e+00
6.514818095459814495e-01,1.566624114522797484e+00
