3.990400352080507029e-01,1.000972915882705649e+00
7.904116870384227111e-02,1.910733165944790146e-01
5.647216825015450962e-03,1.420479127380733751e-02
2.153815987258066861e-03,5.436476905149249805e-03
2.108133389229574235e-03,5.305928963575091799e-03
1.578598016814811546e-03,4.040569153547044802e-03
1.140917770466271484e-03,2.812140763911697653e-03
1.017395989213481892e-03,2.566593998327368516e-03
6.566258692608463367e-04,1.737808939990040207e-03
5.256940963205390541e-04,1.326816535589287306e-03
5.147865528519434113e-04,1.317359055897846399e-03
6.358431936730682280e-04,1.621940217379109605e-03
8.091231092842901930e-04,2.008469934934834986e-03
5.178930468097382245e-04,1.299377839483511999e-03
3.352464406555214936e-04,8.345983916437327245e-04
3.289995165581981922e-04,8.283740457706735951e-04
3.631203327143681342e-04,9.242891316664932598e-04
3.348630113296788085e-04,8.432857437078291945e-04
