3.978357272771507192e-01,1.000772887529688182e+00
4.433559518734718208e-01,1.104628782149233990e+00
9.701356422434941340e-01,2.428279142153460413e+00
1.019159927512923947e+00,2.497372013677892078e+00
2.506708232268115566e-01,6.359674420593867117e-01
5.520722982415449120e-02,1.380657779534382179e-01
3.616149901255397148e-02,9.374833402252530368e-02
2.434907702521329001e-02,5.918568156913036477e-02
1.936876755421567883e-02,4.763797005103864030e-02
1.844683140493059634e-02,4.601709091527447087e-02
1.598446396025493196e-02,3.971123745948075545e-02
