6.099798326791812109e-01,1.484680196078584258e+00
3.294511576847639622e-01,7.784590138166526119e-01
3.309698632844275488e-03,9.408589371144002872e-03
2.805825003331876514e-03,7.514091328765098131e-03
1.991361050969323032e-03,5.166255179516236751e-03
1.403560221026187464e-03,3.831505664554590851e-03
1.004932180238576498e-03,2.547194897160675198e-03
6.747750531805237493e-04,1.802567566555375242e-03
5.980759933779247273e-04,1.631482785684074512e-03
3.733796159870988031e-04,9.947381005720814812e-04
