nh,nn,model,l2_relative_u_mean,l1_absolute_u_mean,n_params_mean,time_lbfgs_mean,l2_relative_v_mean,l2_relative_p_mean,l1_absolute_v_mean,l1_absolute_p_mean,l2_relative_u_std,l1_absolute_u_std,n_params_std,time_lbfgs_std,l2_relative_v_std,l2_relative_p_std,l1_absolute_v_std,l1_absolute_p_std,l2_relative_u_median,l1_absolute_u_median,n_params_median,time_lbfgs_median,l2_relative_v_median,l2_relative_p_median,l1_absolute_v_median,l1_absolute_p_median,n_trials
2,10,R,0.002739657424516062,0.0026422255179496083,173.0,136.55216279029847,0.017454507740452492,0.0052083902800906,0.0013924832023523592,0.0014870015566272382,0.0007299887213710379,0.0007220205155349772,0.0,38.27543300907898,0.006305871705317694,0.0010243986948194523,0.0005222353544078432,0.0003053338449253195,0.002482592633344054,0.0023503352172678255,173.0,149.40110087394714,0.014402602270606331,0.004998693511503713,0.0010930373968700531,0.0014150776167954232,5
2,10,FF_s1,0.3974303922293297,0.3858281908205104,213.0,266.9870624065399,0.945173670915357,0.8144765095570985,0.07722378225148267,0.247644957272612,0.21725485562542873,0.214267836275164,0.0,97.43399238172985,0.34103551855601894,0.3391356841219156,0.028579794986258338,0.11193414944173995,0.4203535229108329,0.40552519155456196,213.0,302.9024381637573,1.0217662834958339,0.8938714030350291,0.08477673389867518,0.28123184366275045,5
2,10,FF_s5,0.6491678466872404,0.6318187015332735,213.0,13.256629133224488,1.0007628872484455,1.0484738589561826,0.0829643352062204,0.32474123535779265,0.020364005900540216,0.01958209599903133,0.0,8.486583136517739,0.0013006405709003817,0.021492435798845907,7.968935782211652e-05,0.008440288645024096,0.6369474216289709,0.6194191794850608,213.0,10.198519945144653,1.0001103929321808,1.046891129385052,0.0829291769133168,0.3242742571075004,5
2,10,FF_s10,0.6503524837818481,0.6326037327613271,213.0,12.86884913444519,1.0005388294366018,1.0485115959840658,0.08295407367161413,0.32466132627537936,0.01921521477021716,0.018815099882375848,0.0,13.904582739811362,0.000806556642516727,0.021643948163725533,5.034991611983133e-05,0.008595780982096889,0.6384555003705155,0.6208833970873451,213.0,6.452958822250366,1.0000911404383919,1.0469384628211882,0.08292405961241897,0.3242899940524739,5
2,10,LPA,0.0031237398298605253,0.0029264466665802373,203.0,315.6901723384857,0.020547332469430014,0.007859574422289298,0.0016230404708763454,0.002166804124383763,0.0009586427899546795,0.0009050239178694147,0.0,86.3822010549607,0.010456092042349844,0.003802061143663586,0.0008268344035618995,0.0009680644651056839,0.003245321231087279,0.0030854771069995014,203.0,318.039666891098,0.019697531145687324,0.0069621123481318934,0.0015652103720315232,0.0020788255044931507,5
3,10,R,0.002530382192318391,0.0024110823247340484,283.0,166.2415909767151,0.014384640288126568,0.00832886215998126,0.0011670724236575258,0.0025198464098694358,0.002047845915161939,0.00196221248015799,0.0,20.007314834553377,0.011655808054307692,0.006684345302197717,0.0009732685653627804,0.0020921436441168496,0.0019111229963393766,0.0017968433200764473,283.0,162.69500970840454,0.00955025976721895,0.006492597017973307,0.0007425281924063424,0.0019328507650942762,5
3,10,FF_s1,0.3552778504803481,0.3429881570983735,323.0,444.5475520133972,0.9103454461913708,0.7495225626926434,0.07440075984628078,0.22632249664376078,0.21211915077110308,0.20960667258182084,0.0,121.76130400724195,0.37633176795876105,0.3426580980427476,0.03234471719312953,0.11068751409630666,0.34940618840746457,0.35139264650537605,323.0,483.7749881744385,1.0096085633645355,0.846445487245144,0.08395810018621606,0.25427707883890527,5
3,10,FF_s5,0.6491775668137422,0.6318514721856529,323.0,41.46521415710449,1.0007434916428626,1.048478268538874,0.08295787570256674,0.32475070115693544,0.02033685171034628,0.019554464280467497,0.0,32.04437404103756,0.0012542491586218004,0.021701814357577176,7.559226492262553e-05,0.008514312979452153,0.6370325291318888,0.6195458107201047,323.0,49.98013520240784,1.0002190092850225,1.046846791852338,0.08292036828577537,0.3242572423358005,5
3,10,FF_s10,0.6503758629220627,0.6326280553337906,323.0,12.517049026489257,1.0005594267429747,1.0484778519919045,0.08295265227151119,0.3246466410910198,0.019251190291839675,0.018851902917121476,0.0,7.824745491892355,0.0008631762834679956,0.02169051381294652,5.932152262789368e-05,0.008616331527302916,0.6384830513499006,0.6209092035381889,323.0,8.582453966140747,1.0000839017665444,1.0469634941111925,0.08292300005492147,0.3242999628287297,5
3,10,LPA,0.00202839443622409,0.0018872568609058567,313.0,315.65838556289674,0.011192349233048427,0.004014973272547777,0.0008792455961331164,0.0011066549098484406,0.0007850784920820493,0.0007305075745854781,0.0,94.81517005338561,0.00420706793690844,0.0017513960603975714,0.0003624667235607823,0.00047650268413071986,0.0019431468691638572,0.0018307286826602927,313.0,289.85009002685547,0.009936553515648488,0.003882239944661766,0.0007520090962457603,0.0011605063817146594,5
4,10,R,0.0010987606476530387,0.0010152617463605065,393.0,257.543253660202,0.007497509732733508,0.003017214398626947,0.0005827018502905519,0.0008791024160486572,0.00021438013580082533,0.00015851194814077627,0.0,46.724206777172604,0.0011222172832440118,0.0012325742096455116,9.857532934622135e-05,0.000351886210693393,0.0010039206857459613,0.000985107876083115,393.0,239.35670232772827,0.0073565615459141595,0.0027463231699442004,0.0005900981630527775,0.0007926924271297601,5
