nh,nn,model,l2_relative_mean,l1_absolute_mean,n_params_mean,time_lbfgs_mean,l2_relative_std,l1_absolute_std,n_params_std,time_lbfgs_std,l2_relative_median,l1_absolute_median,n_params_median,time_lbfgs_median,n_trials
2,10,R,0.06121993872023836,0.023299108721041784,151.0,71.05217933654785,0.09375914543575323,0.03561461025975506,0.0,21.49268326332238,0.020679862415569395,0.008172407457801411,151.0,71.59508085250854,5
2,10,FF_s1,0.7192690568847597,0.3331290225293696,191.0,175.81261811256408,0.3902060522664978,0.18140491457626337,0.0,55.32025109648242,0.8610871592580616,0.39994775855107917,191.0,185.08002710342407,5
2,10,FF_s5,1.0007239278416769,0.4537792096698804,191.0,90.74129929542542,0.0006131592486031759,0.00043634263754200225,0.0,25.932257887418814,1.0004209542335523,0.45380802862968384,191.0,102.8962619304657,5
2,10,FF_s10,1.000642145951349,0.4536371346675307,191.0,78.72741637229919,0.0006804963543014217,0.00036336066075334203,0.0,26.245771026121602,1.0003168506237785,0.45365919362830043,191.0,75.28637313842773,5
2,10,LPA,0.020079012469387664,0.008345710584513782,181.0,88.27998075485229,0.008331624956752574,0.0032888591505352877,0.0,35.94041204313818,0.01898606299795533,0.0080524889312458,181.0,79.29721307754517,5
3,10,R,0.0771701558474453,0.03447748055618445,261.0,127.91015796661377,0.143489495696056,0.0668576311294083,0.0,27.79906648483675,0.012575217425928308,0.00502288921429602,261.0,133.7105746269226,5
3,10,FF_s1,0.62680879139766,0.2927105305154007,301.0,366.9038608074188,0.36768768501637267,0.17483414535443714,0.0,99.24751026366951,0.6741331923866823,0.30772411936962923,301.0,361.32930517196655,5
3,10,FF_s5,1.0007194300637643,0.45373682320578573,301.0,242.26053795814514,0.0005988181618055223,0.0004575201296968485,0.0,78.11618449582555,1.0003331926764127,0.45378982908978677,301.0,219.55771684646606,5
3,10,FF_s10,1.0007408096198778,0.45366168779651944,301.0,210.81510128974915,0.0007941238627790655,0.00040189903781420136,0.0,35.184774249372275,1.0002820853056797,0.4537027484568541,301.0,202.75245594978333,5
3,10,LPA,0.07119420014920677,0.03303458034548044,291.0,100.2647810459137,0.1422825761773333,0.06736987056770043,0.0,20.552663129999722,0.007557867430266759,0.0032322381276641584,291.0,107.23147392272949,5
4,10,R,0.016435203589112917,0.005741842883595092,371.0,234.18375244140626,0.029786885630141122,0.010265057613451575,0.0,50.95612393320869,0.003116443507700558,0.0011579598985915656,371.0,214.39501118659973,5
4,10,FF_s1,0.5719054175568241,0.2686246448971677,411.0,639.5821633338928,0.37116113130514083,0.1795995187795222,0.0,191.19457534658886,0.5405212459550045,0.26748408458368117,411.0,586.3698770999908,5
4,10,FF_s5,1.0007819262930266,0.45371345682841174,411.0,368.86996521949766,0.000636311692411847,0.0004885848967856377,0.0,88.31243496301975,1.0004708121234644,0.4535749363787274,411.0,408.35861992836,5
4,10,FF_s10,1.0008216169904445,0.4536950137118061,411.0,450.3344832897186,0.0009364157674464049,0.00046066698547877246,0.0,57.533071154634236,1.0002667005564332,0.45361176712095586,411.0,465.91519570350647,5
4,10,LPA,0.003005965494430592,0.0012393200363442166,401.0,185.03141140937805,0.0009323849522350289,0.00040863892336425714,0.0,43.95562617459473,0.003212600140699958,0.0011917415789228303,401.0,204.43907403945923,5
