nh,nn,model,l2_relative_mean,l1_absolute_mean,n_params_mean,time_lbfgs_mean,l2_relative_std,l1_absolute_std,n_params_std,time_lbfgs_std,l2_relative_median,l1_absolute_median,n_params_median,time_lbfgs_median,n_trials
2,10,R,1.6557242664039233,0.37850912451380453,173.0,145.4994482755661,0.408548576586446,0.08669495148684062,0.0,37.84094261149806,1.49697636323768,0.34507974323918167,173.0,148.13738441467285,10
2,10,R1,1.613405672283586,0.6598065798518881,151.0,78.78192999362946,0.6820811915918484,0.28227812304299893,0.0,51.26092916595908,1.670266928112035,0.6788735471097593,151.0,64.73823404312134,10
2,10,FF_s1,1.1262038150674478,0.45632360733397687,191.0,144.64717264175414,0.29277469242798704,0.11928022651270724,0.0,51.97115172812029,1.0403090362157632,0.4104510324674375,191.0,134.82562053203583,10
2,10,FF_s5,0.9773489479643193,0.39142772881980226,191.0,62.97685945034027,0.07119927726470501,0.018789873620576582,0.0,29.2418975429374,1.0000152190924048,0.3973527113786587,191.0,54.360644459724426,10
2,10,FF_s10,1.0000750686581097,0.39737802188332516,191.0,49.56017363071442,8.53744827569142e-05,0.0001406659308305441,0.0,31.619624679693224,1.0000431225805406,0.3973435094944588,191.0,55.30428719520569,10
2,10,LPA,0.6627286655591532,0.27597291141528085,181.0,133.64751007556916,0.9532551621421107,0.3989518490612778,0.0,57.579889363647446,0.12602427115594536,0.050942523503820246,181.0,117.45267188549042,10
3,10,R,1.4100170774193876,0.32430554108634263,283.0,135.33055181503295,0.023232030453051635,0.0061693462042125375,0.0,36.04828877290819,1.4236984845703258,0.3279101705606082,283.0,134.40715098381042,5
3,10,R1,1.1028636868594617,0.45502535961708224,261.0,173.09161620140077,1.1912737519759644,0.49370613283135295,0.0,30.921888995234557,0.2995476540048568,0.12245508360550243,261.0,181.1465241909027,5
3,10,FF_s1,1.287781799485655,0.5214400065811992,301.0,390.54387307167053,0.4267390552975555,0.18098251328974646,0.0,177.96411289871102,1.2569923349065952,0.5017344914819254,301.0,287.87958884239197,5
3,10,FF_s5,0.9995738088380224,0.39743511522780645,301.0,227.64636764526367,0.0012554248398311124,0.00023512897328634578,0.0,51.14894870002156,1.0000363099600957,0.39732550556420676,301.0,250.65998816490173,5
3,10,FF_s10,1.0000947435061767,0.3974109768755719,301.0,159.70331339836122,9.077220219517726e-05,0.00015510351923312234,0.0,80.77041175912738,1.0000870253736867,0.39742461694232933,301.0,129.89656591415405,5
3,10,LPA,0.03046494968612883,0.01231302954661512,291.0,224.55564012527466,0.022686852264921023,0.00918063550199407,0.0,87.59559684904573,0.020371010167437437,0.008175391163391284,291.0,191.90785908699036,5
4,10,R,1.386460399434664,0.31826844047330105,393.0,195.76773114204406,0.003572527149247106,0.0010587546471824663,0.0,42.25117816372954,1.3862042866147566,0.31818460175296276,393.0,190.1796898841858,5
4,10,R1,0.4834025541565886,0.1980509345338493,371.0,175.5049488544464,0.5654537399164823,0.23585272156796017,0.0,33.1196648963312,0.2863866682067692,0.116146441115561,371.0,179.9651038646698,5
4,10,FF_s1,0.9043761950806081,0.3666635038331398,411.0,362.0196995258331,0.36937921157769826,0.15631192337104,0.0,99.32915018294158,0.9391045003732426,0.3761315710422424,411.0,361.2732079029083,5
4,10,FF_s5,0.9890539201744947,0.3946468587207922,411.0,248.69218368530272,0.023926357384334893,0.005999041143988412,0.0,168.0004359894784,0.9999874797265199,0.3972124030419848,411.0,247.47550892829895,5
4,10,FF_s10,1.0000873399360644,0.3973895415771579,411.0,300.09121403694155,0.00010321307816893632,0.00017921428624591913,0.0,153.186640129012,1.0000283398749765,0.3973025934109092,411.0,334.2297029495239,5
4,10,LPA,0.020988655678863155,0.008539996693981117,401.0,255.83123598098754,0.0072074189373548805,0.002897860778772778,0.0,72.7758630879803,0.02287796919545695,0.009345869014255295,401.0,218.23764824867249,5
