benchmark,key,key_id,nh,nn,trial,seed,lpa_order,lpa_panels,ff_sigma,ff_features,lr,adam_steps,lbfgs_maxiter,N_0,N_b,N_r,n_params,lpa_ref_params,l1_absolute,l2_relative,final_loss,time_adam,time_lbfgs,lbfgs_steps,machine,L,domain,model
diffusion_reaction,R,R,2,10,3,1237,,,,,0.01,200,40000,200,200,10000,151,,0.08695525907414432,0.2288061616658134,0.12223199009895325,3.863420009613037,38.24144005775452,2297,arm64,,,R
diffusion_reaction,R,R,2,10,4,1238,,,,,0.01,200,40000,200,200,10000,151,,0.008172407457801411,0.020679862415569395,0.017624448984861374,3.986961841583252,81.0119059085846,4655,arm64,,,R
diffusion_reaction,FF,FF_s10,3,10,0,1234,,,10.0,3.0,0.01,200,40000,200,200,10000,301,291.0,0.45426235339087706,1.0020106744497375,18.522886276245117,7.097970008850098,185.9883270263672,5653,arm64,,,FF_s10
diffusion_reaction,FF,FF_s10,3,10,1,1235,,,10.0,3.0,0.01,200,40000,200,200,10000,301,291.0,0.45375890773977506,1.001035458068433,17.934642791748047,7.140432119369507,268.94928884506226,8412,arm64,,,FF_s10
diffusion_reaction,FF,FF_s10,3,10,2,1236,,,10.0,3.0,0.01,200,40000,200,200,10000,301,291.0,0.4532684055268919,1.0002138364635513,18.379899978637695,6.9910008907318115,215.10817575454712,6694,arm64,,,FF_s10
diffusion_reaction,FF,FF_s10,3,10,3,1237,,,10.0,3.0,0.01,200,40000,200,200,10000,301,291.0,0.4537027484568541,1.0001619938119868,17.76914405822754,7.189665079116821,202.75245594978333,6249,arm64,,,FF_s10
diffusion_reaction,FF,FF_s10,3,10,4,1238,,,10.0,3.0,0.01,200,40000,200,200,10000,301,291.0,0.45331602386819925,1.0002820853056797,18.218950271606445,7.706923961639404,181.27725887298584,5538,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",FF_s10
diffusion_reaction,FF,FF_s1,3,10,0,1234,,,1.0,3.0,0.01,200,40000,200,200,10000,301,291.0,0.39751893934398713,0.815803163351122,6.7158613204956055,7.147236108779907,361.32930517196655,11111,arm64,,,FF_s1
diffusion_reaction,FF,FF_s1,3,10,1,1235,,,1.0,3.0,0.01,200,40000,200,200,10000,301,291.0,0.28751940059279457,0.6741331923866823,4.289349555969238,6.732953071594238,464.25275897979736,14519,arm64,,,FF_s1
diffusion_reaction,FF,FF_s1,3,10,2,1236,,,1.0,3.0,0.01,200,40000,200,200,10000,301,291.0,0.4639346308128639,0.9916180653939014,12.286877632141113,6.8692240715026855,218.56436491012573,6936,arm64,,,FF_s1
diffusion_reaction,FF,FF_s1,3,10,3,1237,,,1.0,3.0,0.01,200,40000,200,200,10000,301,291.0,0.006855562457728547,0.018791362930161086,0.005042031407356262,6.667223691940308,339.1151649951935,10459,arm64,,,FF_s1
diffusion_reaction,FF,FF_s1,3,10,4,1238,,,1.0,3.0,0.01,200,40000,200,200,10000,301,291.0,0.30772411936962923,0.633698172926433,0.8494919538497925,7.336215019226074,451.257709980011,13599,arm64,,,FF_s1
diffusion_reaction,FF,FF_s5,3,10,0,1234,,,5.0,3.0,0.01,200,40000,200,200,10000,301,291.0,0.4544348800743079,1.0015810768299178,17.889341354370117,6.849843978881836,188.80647492408752,5748,arm64,,,FF_s5
diffusion_reaction,FF,FF_s5,3,10,1,1235,,,5.0,3.0,0.01,200,40000,200,200,10000,301,291.0,0.45378982908978677,1.001118692473361,17.517873764038086,7.072993040084839,325.4621081352234,10080,arm64,,,FF_s5
diffusion_reaction,FF,FF_s5,3,10,2,1236,,,5.0,3.0,0.01,200,40000,200,200,10000,301,291.0,0.4533390163025527,1.0003331926764127,17.9966983795166,6.85489296913147,219.55771684646606,6905,arm64,,,FF_s5
diffusion_reaction,FF,FF_s5,3,10,3,1237,,,5.0,3.0,0.01,200,40000,200,200,10000,301,291.0,0.4538117509221953,1.000301873631066,17.634185791015625,6.668867826461792,154.8082149028778,4738,arm64,,,FF_s5
diffusion_reaction,FF,FF_s5,3,10,4,1238,,,5.0,3.0,0.01,200,40000,200,200,10000,301,291.0,0.45330863964008594,1.0002623147080636,17.786922454833984,6.874666690826416,322.6681749820709,9933,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",FF_s5
diffusion_reaction,LPA,LPA_P3_N30,3,10,0,1234,3.0,30.0,,,0.01,200,40000,200,200,10000,291,,0.004866345538163933,0.0138491070200894,0.002984828781336546,7.402926206588745,80.03781008720398,2419,arm64,,,LPA
diffusion_reaction,LPA,LPA_P3_N30,3,10,1,1235,3.0,30.0,,,0.01,200,40000,200,200,10000,291,,0.0015997648533583018,0.003902961332229262,0.0010686895111575723,8.016314029693604,107.23147392272949,3198,arm64,,,LPA
diffusion_reaction,LPA,LPA_P3_N30,3,10,2,1236,3.0,30.0,,,0.01,200,40000,200,200,10000,291,,0.1535276422741616,0.32562381748638686,0.19597098231315613,7.6164469718933105,77.09428691864014,2287,arm64,,,LPA
